FUNCTION 1: NAVIGATION AT THE DECK MANAGEMENT LEVEL,,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer
1,""Shorten the distance between vessels", says the ice breaker, what code letter is this?",Fower,Bravo,Lima,Quebec,D
2,""Stop your engines", what code letter does it conveys in ice breaking operations?",Papa,Hotel,Lima,November,D
3,A pneumatic control that uses closed loop system always operates with: ,reset and proportional band,simple on/off control,no controller feedback,feedback to the controller,D
4,"A "HOIST" consist of one or more groups displayed from a single halyard. It is said to be at the dip when hoisted:",down and up,to the full extent of the halyards,up and down,about half of the full extent of the halyards,D
5,A body will be observed at lower transit only:,latitude is numerically less than declination,during summer time,during daylight hours,if the body is circumpolar,D
6,A centrifugal lube oil purifier can remove the following from the lubricating oil: ,acid,kerosene,additives,dissolved solids,D
7,"A chart suitable for inshore navigation, for entering bays and harbors, would have a scale of:","1:100,000 to 1:500,000","1:150,000 to 1:600,000","1:600,000 and smaller","1:50,000 to 1:150,000",D
8,A cloud of marked vertical development (often anvil-shaped) would be classified as:,cirrus,cirrocumulus,altocumulus,cumulonimbus,D
9,"A compound gage is used for measuring pressures both above and below _______________.",absolute pressure,latent pressure,flow pressure,atmospheric pressure,D
10,"A dehydrator installed in a refrigeration system is used to remove_____________.","noncondensable gases and vapors",oil from the refrigerant,refrigerant from the oil,moisture from the system,D
11,A device used in power plant work to determine the calorific value of a fuel is known as. ,Throttling calorimeter,Tachometer,Pneumercator,Bomb calorimeter,D
12,A device which prints out a permanent record of the plant operating conditions is known as the: ,analogger,bell logger,alarm logger,data logger,D
13,A diesel fuel may contain small amount of residual fuel in dark or black color is known as:,gas oil,automotive diesel oil,kerosene oil,bunker oil,D
14,A Doppler log in the bottom retun mode indicates the _______.,velocity of the current,bottom charactiristics,depth of the water,speed over the ground,D
15,A fishing vessel fishing in close proximity exhibits one white light over red light in vertical line if she is:,any of the choices is correct,pair trawling,shooting her nets,hauling her nets,D
16,"A fluid power system is considered to be fail-safe if a component failure will result in ____________.","continuous operation of the system","a safety interlock producing a regulated shutdown of the system","the guaranteed safe and efficient operation of the system at all times","a slow and controlled release of the loading so as not to endanger personnel",D
17,A helicopter making a round trip from a helideck with refueling capabilities to an unmanned platform will take 45 minutes each way. The helicopter should be carrying enough fuel to last:,45 minutes,1 hour and 15 minutes,1 hour and 30 minutes,2 hours,D
18,A hurricane moving northeast out of the Gulf passes west of your position. You could expect all of the following EXCEPT:,higher than normal swells,high winds,"winds veering from south, through west, to northwest",gradual pressure gradient,D
19,A hygrometer is a device used for determining:,the absolute temperature,atmospheric pressure,wind velocity,relative humidity,D
20,"A journal rotating in its bearing relies on hydrodynamic principles for lubrication. Under steady load conditions, the journal rotating in the bearing will assume a position _____________.",at bearing bottom center,concentric in the bearing,at bearing top center,eccentric in the bearing,D
21,A katabatic wind blows:,in a circular pattern,horizontally between a high and a low pressure area,up an incline due to surface heating,down an incline due to cooling of the air,D
22,A knocking noise from one cylinder of an operating reciprocating air compressor indicates:,a defective or broken high pressure unloader,no compressive in that cylinder,excessive overload on that cylinder,a loose valve plate for that cylinder,D
23,A line drawn through all points on a chart having the same amount of cloudiness is called:,isohyet,isohel,isohaline,isoneph,D
24,A line drawn through all points on a isomagnetic chart having the same amount of magnetic variation is called:,isotherms,agonic,isobaric,isogonic,D
25,A line of equal change in atmospheric pressure during a specified time interval.,Isobar,Isohyet,Isallotherm,Isallobar,D
26,A line of equal change in atmospheric pressure during a specified time interval.,Isobar,Isohyet,Isallotherm,Isallobar,D
27,A line of position derived by radar range from an undetermined point on a coast will be a/an:,parabola,straight line,line parallel to the coast,arc,D
28,"A man aboard a vessel, signaling by raising and lowering his outstretched arms to each side, is indicating:","danger, stay away","all is clear, it is safe to pass","all is clear, it is safe to approach",a distress signal,D
29,A national production plan in ENC needs to be compiled to define: ,How the cells are to be divided into areas for each Navigational Purpose.,Navigational Purposes that are to be populated for each chart,Priority in which ENC areas will be produced and encoded in digital form,the actual areas of data coverage rather than the rectangular cell limits,D
30,A pilot taken at the master's option is a ________ pilot. ,Compulsory,Customary,Traditional,Voluntary,D
31,"A purge recovery system is used in a centrifugal air conditioning or refrigeration system to _____________.","purge lube oil from the liquid refrigerant","recover water purged from the system","separate foul gases from the receiver","purge noncondensable gases without losing refrigerant",D
32,A racetrack turn would be better than a Williamson turn in recovering a man overboard if __________.,there is thick fog,the man has been missing for a period of time,the wind was from astern on the original course,the sea water is very cold and the man is visible,D
33,A refrigerant R-717 is: ,No. 12 - Freon,Methyl,Octarle,Ammonia,D
34,A refrigerant used in a mechanical refrigeration system should have which of the following characteristics? ,High boiling point,High freezing point,Low specific heat,Low boiling point,D
35,A safe water mark may be:,vertically striped,spherical,showing a white light,All of the choices ,D
36,"A ship following a great circle track crosses the equator at long. 135deg. 00' E on course 051.8deg. T. If she continues along this great circle track, find the latitude and longitude of the upper vertex.",Lat. 51deg. 12' N; Long. 135deg. 00' W,Lat. 58deg. 12' N; Long. 135deg. 00' E,Lat. 38deg. 12' N; Long. 135deg. 00' E,Lat. 38deg. 12' N; Long. 135deg. 00' W,D
37,A ship is in longitude 54°00'W on a true course of 270°. The ship's clocks are on the proper time zone. At what longitude should the clocks be changed to maintain the proper zone time?,45°00'W,52°30'W,60°00'W,67°30'W,D
38,"A ship is on course 195deg. at a speed of 15 knots. The apparent wind is from 40deg. on the port bow, speed 30 knots. The direction and speed of the true wind are:","292deg. T, 15 knots","015deg. T, 21 knots","263deg. T, 42 knots","127deg. T, 21 knots",D
39,A sign of thunderstorm development is a cumulus cloud:,"darkening, growing in size and forming an anvil top",that shows extensive vertical development,creating cold downdrafts that are felt on the ground,All of the choices,D
40,A signal derived from a controlled function and returned to the initiating points is called a/an: ,monitoring ,inverse ,reverse ,feedback ,D
41,A special purpose buoy shall be:,lighted with a white light,striped black and red,lighted with a red light,yellow,D
42,A squealing sound from within an operating reciprocating air compressor is an indication of:,compressor overload,badly leaking unloaders,motor is overloaded,tight compressor bearings,D
43,"A twin screw vessel with a single rudder is making headway with the engines full speed ahead. If there is no wind or current, which statement is true?  I. Turning response by the use of the rudder only is greater than on a single screw vessel  II. If one screw is stopped, the ship will turn toward the side of the stopped screw  III. With the rudder amidships, the ship will steer a fairly steady course","I, II and III are true",only I and II are true,only I and III are true,only II and III are true,D
44,"A vertical shaft having a rudder to its lower end and having a yoke, quadrant, or tiller fitted to its upper portion by which it may be turned is the:",stern tube,rudder plate,rudder post,rudder stock,D
45,A vessel in initial position 60deg. 00; 04deg. 00' E steam due west for 240 miles. Calculate the new longitude to the nearest minute.,8deg. 00' W,2deg. 00' E,12deg. 00' W,4deg. 00' W,D
46,A vessel is completed the magnetic compass adjustments on magnetic east and magnetic south. The vessel is now steady on magnetic north but the compass reads 004°. You should now adjust the compass until it reads:,356°,358°,000°,002°,D
47,"A vessel is equipped with twin propellers, both turning outboard with the engines half ahead. If there is no wind or current and the rudders are amidships, what will happen? ",The bow will swing to starboard.,The bow will swing to port.,The vessel will steer a zigzag course.,The vessel will steer a fairly straight course.,D
48,A vessel is heading magnetic north and its magnetic compass indicates a heading of 003°. What action should be taken to remove this error during compass adjustment?,Move the quadrantal spheres closer to the compass,Raise the fore and aft magnet if the red end is up,Remove some of the Flinders bar,Raise or lower the athwartships magnets,D
49,"A vessel is heading magnetic north and its magnetic compass indicates a heading of 003°. What action should be taken to remove this error during compass adjustment?",Move the quadrantal spheres closer to the compass,Raise the fore and aft magnet if the red end is up,Remove some of the Flinders bar,Raise or lower the athwartships magnets,D
50,A vessel is heading magnetic northwest and its magnetic compass indicates a heading of 312°. What action should be taken to remove this error during compass adjustment?,"If the quadrantal spheres are all of the way out, replace them with smaller spheres","If the quadrantal spheres are all of the way out, remove one of the spheres",Move the spheres out,Any of the choices ,D
51,A vessel is heading magnetic northwest and its magnetic compass reads a heading of 317deg.. What action should be taken to remove this error during compass adjustment?,If the quadrantal spheres are out as far as possible replace them with smaller spheres,If the quadrantal spheres are in as far as possible remove one of the spheres,Move the soft iron spheres out,Move the quadrantal spheres in,d
