FUNCTION 2: CARGO HANDLING AND STOWAGE AT THE DECK MANAGEMENT LEVEL,,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer
1,"A band or collar on the top end of a boom to which the topping lift, midships guy, and outboard guys are secured, is called the ______.",collar band,guy band,pad eye collar,spider band,D
2,A box-shape vessel of 160 feet in length and 30 feet breadth floats at a draft of 10 feet. Find her BM.,6.5 feet,7.0 feet,5.0 feet,7.5 feet,D
3,A box-shaped vessel 18 x 5 x 2 m floats in DW of RD 1.000 at a draft of 1.4 m. Calculate her percentage reserve buoyancy when she enters SW.,61.14%,51.72%,44.23%,31.73%,D
4,"A box-shaped vessel 65 m long and 8 m wide is floating at an even keel of 4.62 m. If the displacement is 2421.6 tons, what is the relative density of the water where the vessel is in? ",1.016,1.014,1.011,1.008,D
5,A cargo is being loaded that includes cylinders of acetylene aboard a break bulk vessel. Which statement is true?,"Stowage in the upper deck-deck is considered to be the equivalent of "on deck" stowage for this cargo.",The cylinders may be protected from the radiant heat of the Sun by laying a tarp on them.,The cylinders must have a red label for flammability and a green label for compressed gas.,The cylinders must be stowed at least 10 horizontal feet away from corrosive materials in the same space.,D
6,"A cargo is loaded above the original height of center of gravity of the vessel, which of the following will happen?",height of gravity will decrease,metacentric radius will reamin the same,righting arm will increase,metacentric height will decrease,D
7,"A cargo of 160 tonnes is moved aft by distance of 25 meters. If the MCTC for the current draft is 245 tonnes-m, determine the final trim of the ship if the initial trim was 0.25 meters by the stern.",0.087 m by the stern,0.413 m by the head,0.087 m by the head,0.413 m by the stern,D
8,A cargo of canned foodstuff is packed in cartons. Each carton is 36 cubic feet and weighs 340 pounds. The stowage factor of the cargo is:,9.5,62,212,237,D
9,A cargo plan would not include:,the position of all cargo, the location of dangerous goods,the identity of cargo discharge ports,loading and discharge equipment details,D
10,A cargo that has a stowage factor over 40 is known as a:,hygroscopic cargo,weight cargo,stowage cargo,measurement cargo,D
11,A container that is designed to carry (Euro pallets 1 x 1.2 m or 1.2 x 0.8 m) with minimal loss of space.,Pallet container,Conventional Container,Less Cellular Container,Pallet wide Container,D
12,A disadvantage of using chain lashing on heavy vehicles aboard Ro-Ro vessel is that ________.,can wrap around cargo,is easily damaged,is affected by temperature,does not absorb shock,D
13,A dry cargo vessel is required to record in the Oil Record Book of the ship the discharge of dirty ballast or cleaning water from fuel oil tanks. Three of the following is essential and must be recorded. Which one is not?,The distance of the ship from the nearest land if not more than 50 miles,Method of discharge (whether separator was used),The distance of the ship from the nearest land if not less than 100 miles,The distance of the ship from the nearest land if not less than 50 miles,D
14,A fuel tank is considered to be gas free when the tank is:,inerted with carbon dioxide for 24 hours,free of most flammable gas concentrations,thoroughly ventilated for at least 24 hours,free of all dangerous concentrations of flammable or toxic gases,D
15,A good approach to personnel safety is to assume that all tanks and pump rooms are potentially dangerous. You should immediately leave an area whenever __________. ,you experience an abnormal bodily sensation,"you have irritation of the eyes, nose, or throat",you smell an unusual odor,any of the above conditions occur,D
16,"A heavy lift is any single package, pallet, unitized or containerized item that weighs 10,000 pounds or more. Which statement is true?",All personnel must stand clear of a heavy lift coming into the hatch until it is lowered to 2 meters then personnel can then assist in steadying the lift for landing.,"Operators can move tracked vehicles, such as tanks, crawlers, cranes, and bulldozers from the square of the hatch to their stowage position by forklifts",Only LTO licensed operators of heavy equipment are permitted to steer tracked vehicles,Leave gasoline-driven vehicles in gear with the brake engaged.,D
17,A list man would expect to see any of the following light signals EXCEPT _________.,two red lights,one green light,one white light,one amber light,D
18,A load line is assigned to a vessel to insure adequate stability and:,mooring tension,riser tension,lifesaving equipment,structural strength,D
19,"A reproductive health hazard, listed on a Material Safety Date Sheet (MSDS), that can cause genetic changes in sperm or egg cells is called a:",cryogenic,carcinogen,teratogen,mutagen,D
20,A segregated ballast system is a system where:,all ballast is processed through the oily water separator,ballast is taken on and discharged through a separate main deck riser,ballast and cargo tanks are separated by cofferdams,"all ballast lines, tanks, and pumps are independent of those used for oil",D
21,"A ship floats at a draft of 3.42 m and has a waterline length and breadth of 49.75 m and 17.36 m respectively. Calculate the block coefficient if its volume of displacement is 2,010 m3.",0.78,0.63,0.71,0.68,D
22,A ship floats at draft Fwd 5.90 m and Aft 6.10 m. A weight is then shifted forward resulting in the final drafts Fwd 5.97 m and Aft 6.03 m. What change of trim has occurred?,0.14 m by the stern,0.26 m by the head,0.26 m by the stern,0.14 m by the head,D
23,"A ship has a summer displacement of 5,400 tonnes, TPC 30 tonnes, MCTC 35 and LCF 87 m FOAP. Find the vertical distance between the summer and fresh water loadline markings.",32 mm,48 mm,51 mm,45 mm,D
24,"A ship heels 8 degrees as it makes a turn. If the draft when upright is 9.2 m, calculate the draft when heeled given that the breadth is 15 m.",10.244 m,10.451 m,10.145 m,10.154 m,D
25,"A ship initially upright has a displacement of 6,400 tonnes and KM of 7.65 m. A weight of 12 tonnes is moved transversely across the deck through a distance of 13.5 m. Deflection in a pendulum 8 m length is observed to be 14.2 cm. Calculate the effective KG of the ship in the inclined condition.",6.356 m,6.546 m,6.113 m,6.224 m,D
26,A ship is loading in the summer zone in dock water RD 1.012. The officer in charge loads cargo until the dock waterline becomes the level with the top edge of the summer load line. What happen?,"upon reaching the sea, the ship will sink and be light at summer marks",the vessel was able to load legally according to summer loadline,"at sea, the vessel will rise because less cargo was loaded",more cargo should have been loaded,D
27,A ship LBP 150 m is floating at drafts 4.50 m F and 5.42 m A. How much ballast water must be transferred from the aft peak tank (LCG 2m FOAP) to the fore peak tank (LCG 148 m FOAP) in order to reduce the trim by the head to 0.20 m if the MCTC is 156 tonnes-m.,125 tonnes,118 tonnes,122 tonnes,120 tonnes,D
28,A sling is rigged on a piece of a pipe weighing 1000 pounds. The angle between the sling legs is 140 and the legs are of equal length. What stress is exerted on each sling leg when the pipe is lifted?,1318,1366,1414,1469,D
29,A spreader bar is used to _______.,increase the lifting capacity,increase the lifting radius,protect the slings,protect the upper part of a load,D
30,A stretch of water where there are no adjacent river or canal banks.,restricted water,confined water,shoal,open water,D
31,A strongback refers to:,spanner stay,deep beam ,centerline vertical bulkhead,bar securing a cargo port,D
32,"A survey of refrigerated cargo, to certify that proper methods of stowage were utilized, can be conducted bt the ________.",American Bureau of Shipping,Occupational Safety and Health Administration,U.S. Coast Guard,National Cargo Bureau,D
33,A tanker loads at a terminal within the tropical zone. She will enter the summer zone five days after departing the loading port. She will burn off about 45 tons/day and daily water consumption is 8 tons. How many tons may she load over that allowed by her summer load line?,225,235,245,265,D
34,A type of bulk carrier that has high freeboard and equipped with its own unloading equipments?,coal carrier ,iron ore carrier,Cement Carrier,wood chip carrier,D
35,"A type of lashing system used by means of levers and turnbuckles for chains, quick release tensioned for wire.",Webbing,Tensioning,Tie down and lashing,Lashing gear,D
36,A vapor emission control system design and installation should eliminate potential tanker:,tanker overpressure,vacuum hazards,overfill hazards,all of the choices,D
37,"A vessel displaces 13,800 tonnes and has an initial KG of 3.84 meters. A deck cargo of 2,400 tonnes is discharged from a position KG 7.24 meters. Calculate the new KG of the vessel.",4.556 meters,3.248 meters,3.336 meters,3.124 meters,D
38,"A vessel displaces 8,800 tonnes, KG 7.02 m, KM 7.98 m. A weight of 50 tonnes is to be loaded from the quay 18 m to starboard of the ship's centerline. If the head of the derrick is 27 m above the keel when topped to it's maximum extent for the lifting operation, calculate the list as soon as the weight is suspended over the quay.",5.8 degrees,7.2 degrees,6.2 degrees,6.8 degrees,D
39,"A vessel displacing 13,500 tonnes is heeled by 7.5 degrees while her moment of statical stability is 650 tonnes m. Calculate the initial metacentric height.",0.369 cm,0.42 m,0.395 m,37 cm,D
40,"A vessel draws 8.50 m of water (RD 1.005), height of antenna from the keel is 30 m while TPC is 20 tonnes. The bridge span vertical clearance is 24 m, density of water RD 1.018. Find the amount of ballast to load in order to have a safe vertical clearnce of 3 m from the tip of antenna to the span.","1,120 tonnes ","1,022 tonnes","1,240 tonnes","1,220 tonnes",D
41,"A vessel draws 9 m of water (RD 1.009), height of antenna from the keel is 30 m while TPC is 15 tonnes. The bridge span vertical clearance is 24 m, density of water RD 1.020. Find the amount of ballast to load in order to have a safe vertical clearnce of 3 m from the tip of antenna to the span.",143 tonnes,145 tonnes,148 tonnes,146 tonnes,D
42,"A vessel draws 9.8 m of water, RD 1.023, TPC(SW) 10 tonnes, is heading towards a river port, RD 1.010, whose water depth is 10 m, in order to discharge her cargoes. How much cargo should be initially discharged at the anchorage in order to pass safely towards the river port with an under keel clearance of 3 meters.","2,926 tonnes","2,826 tonnes","2,946 tonnes","2,889 tonnes",D
43,"A vessel has a displacement of 13,000 tonnes, initial KG of 7.2 m and KM at 7.946 m. Calculate the final metacentric height if 1,200 tonnes of cargo is loaded into the cargo hold (KG 2.4 m).",6.794 meters,7.606 meters,0.340 meters,1.152 meters,D
