FUNCTION 3: CONTROLLING OF OPERATION OF THE SHIP ANDCARE FOR PERSONS ON BOARD AT THE DECK MANAGEMENT LEVEL,,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer
1,"Fire and boat drill on a tanker vessel shall, by regulation, consist of __________.",starting the fire pumps,checking fireman's outfits and other personnel rescue equipment ,checking relevant communication equipment,all of the choices,D 
2,A 6-men inflatable life raft shall be carried as far forward as is reasonable and practicable. Where is the best stowing position?,Forward of the forecastle,"Aft of the forecastle, secured with wire and turnbuckle",Mid of the forecastle,Under the forecastle.,D
3,A ballast tank is one-third full when additional ballast is added until it is two-thirds full. The increased amount of liquid in the tank will have the greatest influence on the __________.,free surface effect,virtual rise in the center of gravity,value of the moment to trim 1 inch (MT1),transverse stability,D
4,A box-shaped vessel 18 x 5 x 2 m floats in DW of RD 1.000 at a draft of 1.4 m. Calculate her percentage reserve buoyancy when she enters SW.,61.14%,51.72%,44.23%,31.73%,D
5,"A burning pain with redness of the skin, an irritating rash, blistering or loss of skin and or toxic poisoning are all symptoms of:",asphyxia,dermatitis,athletes foot,chemical burn,D
6,"A cargo hold containing cargo such as nitrates, chlorates etc. which produce oxygen under the influence of heat catches fire. How would you deal with this?",Close the hatches and use the fixed CO2 system.,Apply boundary cooling.,"Close the hatches, apply boundary cooling and allow the fire to use up the oxygen and extinguish itself.",With this type of material the hatches should not be battened down. The fire can only be extinguished by using large quantities of water. ,D
7,A carling is used aboard ship:,as a connecting strap between the butted ends of plating,to prevent the anchor from fouling when the brake is released,to provide an extra heavy fitting in a heavy lift cargo rig,to stiffen areas under points of great stress between beams,D
8,A casualty suddenly loses consciousness and falls to the ground letting out a strange cry. The patient is red-blue in the face and froth may appear around the mouth. You are witnessing a major epileptic attack. What should you do?,Remove any soiled clothing and put the patient in a clean bed,Move the casualty in a sit-up position and put something in the persons mouth to protect the tongue.,Keep the patient awake and make him/her walk if necessary to keep him/her awake,"Loose tight clothing, ask all unnecessary bystanders to leave and carefully place something soft under the head. If casualty is unconscious, place the person in Recovery position. ",D
9,A class B fire is most successfully fought by:,cooling the burning material below its ignition temperature,using the extinguishing agent to absorb the heat,using the extinguishing agent to make the burning material fire-resistant,preventing oxygen from reaching the burning material,D
10,A collision bulkhead in cargo ships shall be fitted which shall be watertight up to the freeboard deck. What should be the distance of this bulkhead form the forward perpendicular?,"Not less than 15% of the length of the ship of 25 meters, whichever is less","Not less than 10% of the length of the ship of 15 meters, whichever is less","Not less than 8% of the length of the ship of 20 meters, whichever is less","Not less than 5% of the length of the ship of 10 meters, whichever is less",D
11,A combustible gas indicator is used to determine:,the amount of CO2 present in flue gas,if there is sufficient oxygen to support life,the toxicity of flammable gases or vapors,the presence of flammable gases or vapors in the air,D
12,A crew member has suffered frostbite to the toes of the right foot. Which is NOT an acceptable first aid measure?,Rewarm rapidly,Elevate the foot slightly,Give aspirin or other medication for pain if necessary,Rub the toes briskly,D
13,A crew member reports that the high-pressure alarm light of a low- pressure CO2 fixed fire extinguishing system is illuminated. The most probable cause of this condition would be that:,an excessive amount of insulation has been installed on the tank and piping,an air leak has developed in the tank,the pilot cylinder discharge valve is leaking,the tank cooling system has malfunctioned,D
14,A crew member suffering from hypothermia should be given:,a brisk rub down,a small dose of alcohol,a large meal,treatment for shock,D
15,"A crewmember has a small, gaping laceration of the arm that is not bleeding excessively. What can be done as an alternative to suturing to close the wound?",Massage the area to maintain circulation.,Use temporary stitches of sail twine.,Wrap a tight bandage around the wound.,"Apply butterfly strips, then a sterile dressing.",D
16,A device used to immobilize fractures and help prevent bone displacement is:,Tourniquet,Bandage,Stretcher,Splint,D
17,"A disk with a horizontal line through its center, equivalent to the summer load line, is called the:",tonnage mark,maximum allowable draft mark,deadrise mark,plimsoll mark,D
18,"A drip tray containing oil is on fire. The only fire fighting equipment available is water hose with spray jet/spray nozzle.How, if at all, should you attempt to put out this fire using water?",Water should be applied to the oil in a single jet only.,Water should be applied in a jet to the back of the fire.,Water should not be used on any type of oil fire.,The water can be applied in a fine spray starting from the front in a sweeping motion.,D
19,A fire hose has a:,female coupling at the nozzle end and a male coupling at the hydrant end,male coupling at both ends,female coupling at both ends,male coupling at the nozzle end and a female coupling at the hydrant end,D
20,A fire in a ballast pumproom can be brought under control with minimal impact on stability by:,flooding the compartment with salt water,cooling the outside bulkheads with water,closing the sea chest,shutting all sources of air into the compartment,D
21,A fire involving aluminum powder would be a class.,“A” fire,“B” fire,“C” fire,“D” fire,D
22,A fire is discovered in the forepeak of a vessel at sea. The wind is from ahead at 35 knots. You should:,remain on course but slack the speed,remain on course and hold speed,change course to put the wind on either beam and increase speed,change course and put the stern to the wind,D
23,A fire main system must have enough fire hydrants so that each accessible space may be sprayed with:,a low velocity spray applicator,a water spray or solid stream,at least 25 psi delivered pressure,at least two spray patterns of water,D
24,A fire may be spread by which of the following means?,Conduction of heat to adjacent surfaces,Direct radiation,Convection,All of the choices,D
25,A fire must be ventilated:,if compressed gas cylinders are stowed in the compartment on fire,when using an indirect attack on the fire such as flooding with water,to minimize heat buildup in adjacent compartments,to prevent the gases of combustion from surrounding the firefighters,D
26,A fire of escaping liquefied flammable gas is best extinguished by:,interrupting the chain reaction,cutting off the supply of oxygen,cooling the gas below the ignition point,stopping the flow of gas,D
27,A flame screen:,permits vapors to exit but not enter a tank,prevents the passage of flammable vapors,prevents inert gas from leaving a tank,permits the passage of vapor but not of flame,D
28,A fracture of the skull or head injury should receive immediate attention to prevent damage to the brain. Bleeding can be controlled by direct pressure on the:,veins near the neck,wrist on the left arm which is nearer to the heart,capillaries on the left shoulder,temporal or carotid arteries,D
29,A health hazard term listed on a Material Safety Data Sheet (MSDS) that indicates allergic-like reaction in some people after repeated exposure is:,sensing hazard,oxidizer,skin irritant,sensitizer,D
30,A high-velocity fog stream can be used in fire fighting situations to drive heat and smoke ahead of the fire fighters in a passageway. This technique should only be used when:,The fire is totally contained by the ships structure,At least two fog streams can be used,Using a 2 ½ inch hose,There is an outlet for the smoke and heat,D
31,A life line must be connected to the liferaft:,at the bow,at the stern,in the middle,all around,D
32,A load line is assigned to a vessel to insure adequate stability and:,lifesaving equipment,mooring tension,riser tension,structural strength,D
33,A magnesium fire is classified as class:,A,B,C,D,D
34,A man has suffered a burn on the arm. There is extensive damage to the skin with charring present. How is this injury classified using standard medical terminology?,Dermal burn,first degree burn,second degree burn,Third-degree burn,D
35,A man has suffered a burn on the arm. There is reddening of the skin blistering and swelling. How would this injury be classified using standard medical terminology?,blister burn,major burn,secondary burn,second-degree burn,D
36,A patient with a severe head injury should be:,Given morphine at once to prevent pain,Returned to work as soon as possible to determine if any brain damage has occurred,Watched carefully but his state of consciousness may be ignored because it may be misleading,Put to bed. Relieve his pain with an ice bag and radio for advice,D
37,A person being treated for shock should be wrapped in warm coverings to:,increase body heat,protect the person from injury during transportation,avoid self-inflicted wounds caused by spastic movement,preserve body heat,D
38,"A person is exhibiting signs of hypothermia and starts to shiver, what does this indicate?",the body is in the final stages of severe hypothermia,the body requires a rapid increase in core temperature,the body is dilating blood vessels to conserve heat,the body is trying to generate more heat,D
39,A person referring to the stern sheets of a lifeboat is speaking of:,a canvas awning,the emergency rudder,the line attached to the tack of the lugsail,the aftermost seating,D
40,A person referring to the stern sheets of a lifeboat is speaking of __________.,the line attached to the tack of the lugsail,the emergency rudder,a canvas awning,the aftermost seating,D
41,A person reports to you with a fishhook in his thumb. To remove it you should: ,have a surgeon remove it,pull it out with pliers,cut the skin from around the hook,"push the barb through, cut it off, then remove the hook",D
42,A person slowly feel more sleepy and thirsty. The skin become very dry and there is a sweet taste of the breath. The glucose reaction shows positive. What kind of medicine will the person need as soon as possible?,Nothing at all,"Sugar lump, sugar drink or something sweet",A glass of cold milk,Insulin,D
43,A person suffering from a heart attack may show which of the following symptoms?,Shortness of breath,Pain in the left arm,Nausea,All of the choices,D
44,A point that temperature to which a combustible liquid must be heated for it to give off a vapor that will momentarily flash in presence of a naked light.,Dew point,Firing Point,Flush point,Flash point,D
45,A portable foam fire extinguisher carried aboard a tank vessel must be recharged every:,3 months,6 months,9 months,12 months,D
46,A precaution you should take before bunkering is to:,close the lids on the vents,plug the vents,plug the sounding pipes,plug the scuppers,D
47,A right-handed propeller will cause the survival craft to:,right itself if capsized,run faster than a left-handed propeller,walk the stern to starboard in reverse,walk the stern to port in reverse,D
48,A role behavior of a leader which refers to a persons knowledge of proficiency in any type of process of technique is called.,human skill,organizing skill,conceptual skill,technical skill,D
49,A safety feature provided on all inflatable liferafts is:,overhead safety straps,built in seats,internal releasing hooks,water stabilizing pockets,D
50,A safety outlet is provided on the CO2 discharge piping to prevent:,flooding of a space where personnel are present,rupture of cylinder due to temperature increase,over pressurization of the space being flooded,over pressurization of the CO2 discharge piping,D
51,"A seaman has a small, gaping laceration of the arm that is not bleeding excessively. What can be done as an alternative to suturing to close the wound?",Wrap a tight bandage around the wound.,Apply a compression bandage.,Use temporary stitches of sail twine.,"Apply butterfly strips, then a sterile dressing.",D
52,A seaman may have all or part of his wages deposited by allotment to a bank or savings institution. Which of the following is NOT a requirement for this type of allotment?,All of the above are requirements.,The account must be opened by the seaman and maintained in the seaman s name.,The institution must be insured by the FSLIC or FDIC.,The account must be either a checking or savings account.,D
53,A side girder in the fore and aft line sited either side of the keel:,bulkhead,center girder,longitudinal,intercoastal side girders,D
54,A slow and easy motion of a vessel in a seaway indicates:,a small GZ,a large GZ,a low center of gravity,a high center of gravity,D
