Table 1
FUNCTION 1: NAVIGATION AT THE DECK OPERATIONAL LEVEL,,,,,,,
No.,Questions,Questions,Choice B,Choice C,Choice D,Answer,
1,"""My vessel is stopped and making no way through the water"", what code letter does it conveys in ice breaking operations?",Mike,Echo,India,Sierra,A,
2,"A  radar display in which the orientation of the display is fixed, so that the North is always at the top of the screen, is called a(n):",stabilized display,relative display,composite display,unstabilized display,A,
3,"A ""Standard Format for Search and Rescue Situation Reports"" (SITREPs) should be used by vessels in distress.  The SITREP can be compiled as a short form (urgent essential details). Which of the following information shall be included when using the ""short"" .",Weather on-scene,Oil spill possibility,Fire onboard,Flooding onboard,A,
4,A 20-meter vessel is towing another vessel astern. The length of the tow from the stern of the towing vessel to the stern of the tow is 75 meters. How many white towing masthead lights shall the towing vessel show at night?,2,1,3,4,A,
5,A 22-meter sailing vessel when also being propelled by machinery shall show during daylight hours a:,black cone,basket,black diamond,black ball,A,
6,A 406 MHz Cospas-Sarsat EPIRB that transmits is:,always immediately detected by the satellites concerned,detected within 1 and a half hours by the satellites concerned,detected within 2 and a half hours by the satellites concerned,detected within 30 minutes by the satellites concerned,A,
7,A 95-meter vessel aground shall sound which fog signal?,"A rapid ringing of a bell for 5 seconds, preceded and followed by 3 separate and distinct strokes on the bell","A whistle signal of 1 short, 1 prolonged and 1 short blast","A rapid ringing of a bell for 5 seconds, every 2 minutes",A long blast of the whistle at intervals to exceed 1 minute,A,
8,A barometric pressure reading of 29.92 inches of mercury is equivalent to:,1013.25 millibars,1012.35 millibars,1015.25 millibars,1010.35 millibars,A,
9,A Binnacle is a stand used for housing a ________ so that they may be used conveniently?,compass,radio direction finder,steering wheel,radar,A,
10,A bow thruster:   I. is effective in slowing down a vessel.   II. Loses effectiveness when the vessel's speed exceeds 3 knots.   III. Provides lateral control without affecting headway,II and III only,"I, II and III ",I and III only,I and II only,A,
11,A buoy having red and green horizontal bands would have a light characteristic of:,composite group flashing,quick flashing,interrupted quick flashing,Morse (A),A,
12,A cardinal mark showing an uninterrupted quick-flashing white light indicates the deepest water in the area is on the:,north side of the mark,west side of the mark,east side of the mark,south side of the mark,A,
13,A celestial body will cross the prime vertical circle when the latitude is numerically:,greater than the declination and both are of the same name,less than the declination and both are of the same name,greater than the declination and both are of contrary name,less than the declination and both are of contrary name,A,
14,A chain stripper is used to:,prevent chain from clinging to the wildcat,clean the marine debris from the chain,flake chain from a boat's chain locker,clean chain prior to an x-ray inspection,A,
15,A channel is stated as having a controlling depth of 38 feet. Which statement is TRUE?,100% of the channel width is clear to 38 feet.,The sides of the channel conform to at least 50% of the controlling depth.,At least 50% of the channel is cleared to the charted depth.,At least 80% of the channel is cleared to the charted depth.,A,
16,A chart database used in ECDIS and is published by or under the authority of governments is known as:,ENC  ,CEN,ECN,NEC,A,
17,A coastal chart could have a scale of:,"1:100,000","1:35,000","not more than 1:25,000","1:500,000",A,
18,A cold front moving in from the northwest can produce:,"thunderstorms, hail, and then rapid clearing",increasing cloud cover lasting for several days,lengthy wet weather,low ceilings with thick cirrus clouds,A,
19,"A composite great circle route is not as short a distance as a great circle route, but it is sometimes used instead. Why?",It avoids high latitudes where ice may be found,"It is the ""least time"" route",It avoids areas of heavy traffic,It minimize the number of course changes,A,
20,A controllable pitch propeller on a diesel driven vessel eliminates the need for: ,reversing gears,friction clutches,disconnect clutches,reduction gears,A,
21,A crew member has just fallen overboard off your port beam.  Which of the following actions should you take?,Immediately put the rudder over hard left,Immediately put the rudder over hard right,Immediately put the rudder over hard left,Immediately put the engines astern,A,
22,A crew member suddenly becomes blind in both eyes. Which code should your message contain?,MNO,MNI,MNJ,MNM,A,
23,"A deep draft VLCC (100,000 DWT+) navigating in a narrow channel or canal:",draws more water than when underway in deep water,requires less power for a given speed,steers better under full power,draws less water with an increase in speed,A,
24,"A digital form by the national hydrographic authority, containing chart information and other nautical hydrographic information.",ECDB, ECDIS,  ECS,ENC,A,
25,"A distress alert from an Inmarsat-EPIRB, is received in the coverage area of a satellite by ground station within:",two minutes,60 to 90 minutes,ten minutes,20-60 minutes,A,
26,"A distress call is received from a vessel sending her position at Lat. 31deg. 38' N; Long. 052deg. 40' W. Your present position is Lat. 28deg. 38' N, Long 052deg. 40' W. How many hours will it take you to arrive at the distressed ship if you make a speed of 12 knots?",15 Hours,10 Hours,9 Hours,19 Hours,A,
27,"A distress-call, onboard via RCC, may only be given Receipt if:",the O.O.W. deems it necessary,OSC from the RCC concerned invites the vessels,the master allows,instructed by the owners,A,
28,A DSC-notice should be sent on VHF-channel:,67,16,57,37,A,
29,"A fully loaded ship with a normal trim is proceeding ahead at sea speed. Where is the position of the ""pivot point""?",One-third of the length of the ship from the bow,Right at the bow,One-half the length of the ship from the bow,Two-thirds the length of the ship from the bow,A,
30,A general chart could have a scale of:,"1:200,000","1:1,000,000","1:50,000","not more than 1:25,000",A,
31,A generally circular low pressure area is called a(n):,cyclone,anticyclone,cold front,occluded front,A,
32,A GPS satellite transmits a signal thru the first carrier on:,1575.42 MHz ,1755.42 MHz ,1572.75 MHz ,1574.75 MHz ,A,
33,A GPS satellite transmits a signal thru the second carrier on:,1227.60 MHz ,1272.60 MHz ,1722.60 MHz ,1727.60 MHz ,A,
34,A great circle crosses the equator at 120deg. E.  At what other longitude will it also cross the equator?,060deg. W,078deg. W,060deg. E,120deg. W,A,
35,A great circle will intersect the equator at how many degrees of longitude apart?,180°,0°,90°,45°,A,
36,A harbor chart could have a scale of:,"1:35,000","not more than 1:25,000","1:150,000","not less than 1:500,000",A,
37,"A head-on or end-on situation shall be deemed to exist at night when a vessel sees the other vessel ahead, and:",both sidelights are visible,the masthead lights of the other vessel are in line with one sidelight visible,all of the options,the masthead lights of the other vessel are not in line with both sidelights visible,A,
38,A ketch-rigged sailing vessel is sailing to windward with the wind about 50° on the port bow. All the sails are set and drawing properly. Which statement is TRUE?,"If you strike the mainsail, the center of effort of the whole rig will move down.","If you slack the mizzen sheet, the center of effort will move aft.","If you sheet in the mainsail without changing course, the vessel will heel farther and speed up.","If you slack the main sheet, the lift to drag ratio of the mainsail will increase.",A,
39,A lantern combining the two sidelights and stern light may be shown on a:,10-meter sailing vessel,25-meter pilot vessel,20-meter vessel engaged in fishing and making way,25-meter power-driven vessel engaged in trolling,A,
40,A large ship close by may cause:,Multiple echoes,Refraction,Diffraction,Increased range resolution,A,
41,A large vessel is equipped with a controllable pitch propeller. Which statement is TRUE?,"When dead in the water, it is often difficult to find the neutral position and slight headway or sternway may result.","When going directly from full ahead to full astern, there is complete steering control.","When the vessel has headway and the propeller is in neutral, there is no effect on rudder control.","When maneuvering in port, full ahead or astern power can usually be obtained without changing shaft RPM.",A,
42,"A light showing one or more flashes at regular intervals, the duration of light being less than that of darkness.",flashing light,group occulting,quick flashing,occulting light,A,
43,A light signal consisting of three flashes means,"""I am operating astern propulsion""","""I desire to overtake you""","""I am in doubt as to your actions""","""My engines are full speed astern""",A,
44,A light that has a light period shorter than its dark period is described as:,flashing,pulsating,occulting,alternating,A,
45,A line drawn on a weather chart having equal or constant temperature.,Isotherm,Isophase,Isobars,Isopleth,A,
46,A line of position derived by radar range from an  identified point on a coast will be a(n):,arc,straight line,parabola,line parallel to the coast,A,
47,A line on a chart connecting all points of equal salinity or constant salinity.,Isohaline,Isohel,Isohyet,Isallobar,A,
48,A line on a weather chart connecting places which have the  same barometric pressure is called an:,isobar,isotherm,isotope,isallobar,A,
49,"A long pole with a hook at one end, used to reach for lines, is known as a:",pike pole,hooker,line rod,jack staff,A,
50,A look-out is best posted in which location?,forward as low as possible,high on the mast,inside the bridge,in the bridge wings,A,
51,A magnetic compass card is marked in how many degrees:,360,180,90,400,A,
52,"A magnetic corrector bar for compensating against vertical
soft irons like the funnels.",Flinders bar,Permanent magnet corrector,Quadrantal corrector,Heeling corrector,A,
53,"A message by flashing light consists of four elements, including the call, the identity, the text, and what fourth element?",ending,answer,destination,time,A,
54,A mooring line leading at nearly right angles to the keel is a:,breast line,stern line,bow line,spring line,A,
55,A mooring line that checks forward motion of a vessel at a pier is a:,stern line                    ,forward bow line                                         ,aft spring line                                                      ,stern breast line,A,
56,"A mooring rope breaks close to the eye splice during cargo operations at night, what action would you take?",Replace it at once,Repair it in the morning,Inform the stevedores,Inform the boatswain,A,
57,A mooring system that results in a spread system without anchor buoys is called a:,permanent chasing system,wire rope mooring system,shepherd's crook mooring system,spring buoy mooring system,A,
58,A mooring winch should be equipped with mechanical brakes capable of holding:,the full breaking strength of the mooring line,half the breaking strength of the mooring line,50% over the working tension of the mooring line,the maximum expected tension of the mooring line,A,
59,"A navigational information system which, with adequate back-up arrangements, can be accepted as complying with the up-to-date chart, required by regulation V/19_2.1.4 of the 1974 SOLAS Convention, by displaying selected information from a system electronic navigational chart.",Electronic Chart Display and Information System (ECDIS),Navigational Raster Type Systems,Integrated Bridge System (IBS),Navigational Satellite System,A,
60,A nylon mooring rope undergoes a decrease in strength of how many percent if it gets wet by immersion?,20%,5%,50%,30%,A,
61,"A partly submerged vessel or object being towed, which is not readily noticeable, shall show:",a diamond shape,a black ball,yellow lights at each end,two red lights in a vertical line,A,
62,A period during a SAR incident when SAR facilities return to their regular location and prepare for another mission.,Conclusion stage,Awareness stage,Stand by Stage,Finishing Stage,A,
63,A period during a SAR incident when SAR facilities return to their regular location and prepare for another mission.,Conclusion stage,Awareness stage,Stand by Stage,Finishing Stage,A,
64,A person has just fallen overboard off your starboard side.  Which action should you take?,Immediately put the rudder over hard starboard,Immediately put the rudder over hard port,Immediately put the engines astern,Wait until the stern is well clear of the man and then put the rudder over hard port,A,
65,A pilot vessel may continue to sound an identity signal if she is:,at anchor,being towed,aground,not under command,A,
66,"A plane circles your vessel, crosses your course at a low altitude opening and closing his throttle and heads off in a direction which you are to be directed. How you indicate your INABILITY to comply?",Hoist the international code flag November (N),Flash the Morse Code procedure signal T.,Hoist the answering pennant.,Emit large quantities of black smoke from your stack.,A,
67,A polarization of a radio wave is determined by a:,position of the aerial,length of the aerial,width of the aerial,height of the aerial,A,
68,A position on the Earth has a longitude of 74°10'E. Its celestial counterpart would have a:,GHA of 285°50',SHA of 74°10',SHA of 285°50',LHA of 74°10'E,A,
69,A proper look-out shall be maintained:,at all times,at night and during restricted visibility,only at night,only during restricted visibility,A,
70,A proper working of the 406 MHz Cospas-Sarsat EPIRB can be tested: I. Monthly test transmissions from RCC s as per regulation II. Test-transmissions from Cospas-Sarsat satellites.,I only                       ,II only                  ,I and II are correct,Neither I nor II,A,
71,"A purpose-built helicopter landing area located on a ship including all structure, fire-fighting appliances and other equipment necessary for the safe operation of helicopters.",Helideck,Helicopter winching area,Helipad,Helicopter facility,A,
72,A radar is set on  a true motion display. Which of the following will NOT appear to move across the PPI scope?,Echoes from a buoy,Own ship's marker,Echo from a ship on the same course at the same speed,Echo from a ship on a reciprocal course at the same speed,A,
73,"A radar range to a small, charted object such as a light will provide a line of position in which form?",Arc,Straight line,Parabola,Hyperbola,A,
74,A Raster-scan chart data is:,"A digitized ""picture"" of a chart in one format and one layer",Composed of files that are smaller than vector files,Organized into many separate files,The only format recognized by IMO/IHO,A,
75,A rescue helicopter hoist area would preferably have a minimum radius of at least:,50 feet of clear deck,6 feet of clear deck,10 feet of clear deck,25 feet of clear deck,A,
76,A right hand propeller turns clockwise when viewed from the:  ,stern,bow,starboard side,port side,A,
77,"A rigid replica of the International Code flag ""A"" may be shown by a vessel:",engaged in diving operations,engaged in underway replenishment,pulling a submarine cable,transferring explosives,A,
78,A rudder with a fixed butt is the:,door type,horn type,simple type,spade type,A,
