Table 1
FUNCTION 2: CARGO HANDLING AND STOWAGE AT THE DECK OPERATIONAL LEVEL,,,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer,
1,"""10 cm x 10 cm"" in cargo handling and stowing refers to the ___________",minimum size of a dangerous goods placard,minimum size of peck and hale gears used for car lashings,minimum size of flange used to plug marpol lines at the manifold,none of these,A,
2,"""Separated longitudinal by an intervening complete compartment or hold from"", this segregation means a separation by a distance of at least _________ meters longitudinally.",Twenty four,Twelve,Eleven,Thirteen,A,
3,“Beam Filling” refers to:,"cargo, like small packages, that can conveniently fill the empty spaces between beams",distributing cargo in the wings of cargo holds and in the twin decks,stowing beams in the spaces between other cargo,stowing cargo athwartship,A,
4,“Combination Carrier” refers to what type of ship?,A ship designed to carry either oil or solid cargoes in bulk,A ship designed to carry either oil products or crude oil in bulk or in parcels,"A cargo ship that has product of oil tanks, example palm oil tanks",A general term for vessel carrying more than one kind of cargo,A,
5,“Limber” is a term used with ______., Drainage, Deck cargo stowage,Securing gear,Emergency gear,A,
6,“Sugar” is a cargo which demands absolute freedom from dampness and avoidance of contact with iron because:, Wet sugar in contact with iron will cause corrosion.,Dry sugar and wet sugar will stick to each other.,Iron will contaminate the sugar,Green sugar is more highly refined than dry sugar,A,
7,A “bullrope” is used for ______.,Topping or lowering a boom,A mooring spring,Securing guys and preventers,Securing the boom,A,
8,A “Heterogeneous cargo” refer to:   I. A bulk carrier loaded with steel   II. A bulk carrier loaded with heavy ore:,Both I and II,II only,I only,Neither I nor II,A,
9,"A “TOM” is a timber used to secure cargo by running from: I.  an upper support down to the cargo II. a lower support up to the cargo ", I only, II only,Both I and II,Neither I or II,A,
10,"A “water shower curtain” is flushed under the manifold during cargo operation onboard LNG carriers. In the event of cargo spill, which statement below best explains why the above operation is being carried out?",it prevents the liquid cargo in being in contact with the hull thus avoiding structural damage,The water shower drains the liquid cargo to the bottom of the sea thus avoiding the spread of flammable gasses.," Since the cargo is one of the most environmentally friendly fuel today, letting it mix with sea water is not a hazard in the marine ecosystem", Fire can be avoided instantly if the liquid cargo spills on the water shower curtain,A,
11,A 20 foot container standard would measure _____________.,"20 x 8'6"" x 8'","20 x 7'6"" x 8'",20 x 8' x 8',20' x 8 x 7'6,A,
12,"A 250 tons of cargo was discharged from the upper deck.  Its KG is 16 meters.  The vessels displacement before was 7,300 tons and KG is 6.80 meters.  Find the vertical shift of the center of gravity?",0.34 meters,0.44 meters,0.94 meters,0.54 meters,A,
13,"A 7,000 ton displacement tankship carries two slack tanks of alcohol with a S.G. of 0.8.  Each tank is 50 ft. long and 30 ft. wide.  What is the reduction in GM due to free surface with the vessel floating in sea water, S.G. is 1.026?",.72 ft,.36 ft,.46 ft,.82 ft,A,
14,A block that can be opened at the hook or shackle end to receive a bight of the line is a ______.,Snatch block,Heel block,Gin block,Bight block,A,
15,A box shape openings where dirty water pumped out to sea while washing inside the cargo holds is called.,Bilge well,Slop tanks,Double bottom tanks,Side tanks,A,
16,A box shape vessel of 60m long and 12m wide is loading in seawater. How many tons is required to increase or decrease her mean draft by one centimeter?,7.38 tons,7.43 tons,7.20 tons,7.28 tons,A,
17,"A box-shaped barge is 25 meters in length, 6 meters breadth and floats a draft of 1.10 meters even. What is her TPC?",1.5 tons,2.5 tons,3.5 tons,4.5 tons,A,
18,"A box-shaped vessel 60 m in length, 16 m breadth, floats in SW at an even keel draft of 4.0 m, KG is 5.0 m. The vessel has a continuous center line watertight bulkhead. What is the KM of an empty compartment 15.0 m long and symmetrical about amidship is bilged on one side, BM being 4.595 m?",6.881 m,B. 6.081 m,6.781 m,6.981 m,A,
19,A bracket between a frame or stiffener at the end of a beam is called:,Beam knee ,Beam line ,Beam transom ,Beam bracket ,A,
20,A bulkhead which performs the supporting function similar to a pillar is called:,watertight bulkhead, scream bulkhead,oil tight bulkhead,non-watertight bulkhead,A,
21,A cargo capable of absorbing moisture in the form of liquid is called,none of the options,hygroscopic cargo,saturated cargo,permeable cargo,A,
22,"A cargo hold containing cargo such as nitrates, chlorates etc. which produce oxygen under the influence of heat catches fire. How would you deal with this? ",With this type of material the hatches should not be battened down.  The fire can only be extinguished by using large quantities of water,Close the hatches and use the fixed CO2 system,Keep the hatch cool by continuously cooling the top of the hatch by flowing seawater,Inert the hatch ,A,
23,A cargo hose is marked with the:,maximum working pressure,bursting pressure,safety relief valve setting,maximum temperature,A,
24,"A cargo on which freight is usually charged on the volume occupied by the cargo and this cargo is usually light, bulky cargo stowing at more than 1.2m3/tonne but may also be heavy castings of an awkward shape where a lot of space is occupied. ",Measurement cargo,Deadweight cargoes,Freight cargo,Advalorem cargo,A,
25,"A cargo vessel displaces 3,800 tonnes and has an initial KG of 4.62 m. Calculate the final KG if a weight of 250 tonnes is moved vertically upwards from the lower hold (KG 1.82 m) to the upper deck (KG 7.38 m).",4.986 m,4.254 m,5.105 m,4.963 m,A,
26,"A Category ""B"" Chemical Cargo which has a melting point of more than 15 degrees Centigrade can be carried:",in tanks not adjacent to the ship's shell plating having heating coils,in tanks adjacent to the ship's shell plating having heating coils,in any tank onboard the vessel,in tanks where the heating coils have been removed and supply and return steam pipes blanked off,A,
27,A cofferdam is:,made by placing two bulkheads a few feet apart,any deck below the main deck and above the lowest deck,a member that gives fore-and- aft strength,a heavy fore- and-aft beam under the deck,A,
28,"A colorless gas with high carbon content, lighter than air with chemical formula of C2H2. ",Acetylene,Acetone,Argon,Astatine,A,
29,"A compartment aboard your ship is located below the vessels waterline. If the space in question is flooded completely, you would expect the value of the free surface for that space to _______. ",to be eliminated,increase,decrease,remain the same,A,
30,"A consignment of lumber measuring 2-inches thick, 10-inches wide and 16-feet long per piece is to be loaded. There are 30,000 pieces in the shipment.  How many board feet would be listed on the Bill of Lading?","800,000","1,200,000","1,440,000","14,400,000",A,
31,A container vessel carrying a container which is displaying a hazardous cargo placard displaying the number 2285.  This indicates that it is carrying what cargo?,Hexanols,Phosphine,Isoheptene,Furan,A,
