Table 1
FUNCTION 3: CONTROLLING OF OPERATION OF THE SHIP AND  CARE FOR PERSONS ON BOARD AT THE DECK OPERATIONAL LEVEL,,,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer,
1,What is the purpose of risk assessment?,"To ensure that careful examination of shipboard operations are carried out to determine what can cause harm, that existing controls are adequate and determine if risk level are tolerable",To ensure that every risk and incident on board are duly assessed and investigated and reports are made for the management, To ensure that every risk and incident on board are duly assessed and investigated,To ensure that no incident happens on board,A,
2,"""GM"" cannot be used as an indicator of stability at all angles of inclination because:","""M"" is not fixed at large angles","there is no ""M"" at large angles","""G"" is not fixed at large angles","there is no ""G"" at large angles",A,
3,"""Peck and Hale"" gear is mostly used for storing:",Automobiles,Baled cargoes,Palletized cargoes,Large wooden crates,A,
4,"""Thermal protective aids"" are required for what percentage of the persons survival craft is equipped to carry?",10%,50%,75%,100%,A,
5,A  vessel freely floating in the water will behave as if all of its weight is acting downward through a point called:,center of gravity,center of buoyancy,center of flotation,metacenter,A,
6,"A ""fifteen-pound"" CO2 extinguisher is so called because:",there are fifteen pounds of CO2 in the container,"the container, when full, weighs fifteen pounds",the pressure at the discharge nozzle is l5 psi,the empty container weighs fifteen pounds,A,
7,"A ""Margin Line"" is a line drawn at least ____________ the upper surface of the bulkhead deck at the side.",76 mm below,76 mm above,75 mm above,75 mm below,A,
8,"A ""strong back"" refers to a _______________.",bar securing a cargo port,centerline vertical bulkhead ,deep beam,spanner stay,A,
9,"A ballasted vessel sinks enroute to a dry dock. Under these circumstances, the vessel's owner can claim:",actual total loss,general average,particular average,constructive total loss,A,
10,A B-II fire extinguisher has a minimum capacity of:,10 pounds of dry chemical,20 pounds of CO2,3 gallons of foam,All of the above,A,
11,A B-III foam extinguisher contains:,12 gallons of foam,8 gallons of foam,10 gallons of foam,2-1/2 gallons of foam,A,
12,A burn may occur when electricity of high current and voltage passes through the body. Most damage occurs at the points of entry and exit of electricity. What is the treatment of electrical burns?,Place sterile dressing over the burn and secure with a bandage,Break blisters and secure with bandage,Apply ointment to the burned areas on the patient,Remove the patient from the vicinity of the live electrical equipment or wiring,A,
13,A burning period of the rocket parachute flare should not be less than for how long when it burns?,40 secs,45 secs,55 secs,50 secs ,A,
14,A cabinet or space containing the controls or valves for the fixed firefighting system must be:,posted with instructions on the operation of the system,ventilated and equipped with explosion-proof switches,painted with red and black diagonal stripes,equipped with a battery powered source of emergency lighting,A,
15,A cadet is on board your vessel and will need to be assessed in the demonstration of practicalskills. Ideally you should assess their skill __________.,after they have received training and personally practiced the skill,immediately after they have received training,after they have observed the skill demonstrated once,before they have received training,A,
16,A casualty has fallen from a height and appears to be unconscious. What would you do first?,Check their breathing,Check their pulse,Place them in the recovery position,Leave them and phone for help,A,
17,A casualty suddenly loses consciousness and falls to the ground letting out a strange cry. The patient is red-blue in the face and froth may appear around the mouth. You are witnessing a major epileptic attack. What should you do?,"Loose tight clothing, ask all unnecessary bystanders to leave and carefully place something soft under the head. If casualty is unconscious, place the person in Recovery position.  ",Move the casualty in a sit-up position and put something in the persons mouth to protect the tongue.,Keep the patient awake and make him/her walk if necessary to keep him/her awake,Remove any soiled clothing and put the patient in a clean bed,A,
18,"A class ""B"" fire is most successfully fought by:",preventing oxygen from reaching the burning material,cooling the burning material below its ignition temperature,Preventing passage of smoke and flame to the end of a one hour standard test,Insulated on both sides with approved non-combustible material,A,
19,"A class ""D"" fire involves what type of material?",Metals ,Gases,Liquid,Combustible solids,A,
20,A class C fire would be burning:,electrical insulation,fuel oil,wood,celluloid,A,
21,A combination or all-purpose nozzle produces:,a solid stream and fog,a solid stream only,low-velocity fog only,a solid stream and foam,A,
22,A combustible gas indicator will operate correctly ONLY when the:,hydrocarbon content of the atmosphere is less than the U.E.L.,atmosphere is deficient in oxygen,compartment to be tested is free of CO2,all of the choices,A,
23,A compound fracture is one where there is.,A wound and the bone is protruding.,Damage to underlying tissue.,Excessive bleeding from an open wound.,A wound and bone is visible.,A,
24,A crew member has suffered frostbite to the toes of the right foot.  Which is NOT an acceptable first aid measure?,Rub the toes briskly,Elevate the foot slightly,Rewarm rapidly,Give aspirin or other medication for pain if necessary,A,
25,A crew member has suffered possible frostbite in the toes of both feet. You should:,immerse the feet in warm water,warm the feet with a heat lamp,warm the feet at room temperature,rub the feet to restore circulation,A,
26,A crewman has suffered a blow to the head and various symptoms indicate a concussion. Proper treatment should include:,turning the victims head to the side to keep his airway open,positioning the victim so the head is lower than the body,giving the victim water but no food,placing a pillow only under the victims head,A,
27,A CSO is designated by the:,Company Operating the ship,ISPS Code,ISM Code,Ship Security Officer,A,
28,"A detailed statement of a vessels cargo which includes all data regarding the shipper, consignee and cargo quantity is referred to as:",cargo manifest,bill of lading,cargo list,mates receipt,A,
29,A direction at right angles to the centerline of the ship or an item of structure in this position is called a/an:,transverse,longitudinal ,vertical,amidships,A,
30,"A document issued by a responsible person, allowing personnel to a space or compartment during a specified period.",Entry permit,Entry log,Hot work permit,Cold work permit,A,
31,A double male coupling is one that:,has outside threads on both ends,takes two men to operate,has left hand twist,has inside threads on both ends,A,
32,A drill must be conducted in the use of the line throwing appliance at least once in every:,3 months,2 months,4 months,5 months,A,
33,A drug or medicine given to reduce pain without resulting in loss of consciousness. It is sometimes referred to as painkiller medications.,Analgesic,Antipyretic,antibiotics,antibacterial,A,
34,A fire dampers prevent the fire spreading through the process of ________.,convection,radiation,direct contact,be wetter,A,
