FUNCTION 1: MARINE ENGINEERING AT THE ENGINE MANAGEMENT LEVEL,,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer
1,"A 12-knot ship consumes 125MT of fuel per day. How many days will it take her to navigate a distance of 6,280 nautical miles and how many metric tons of fuel (who) she consume? If the unpumpable fuel is about 3% and the allowance for delay due to bad weat",3323.25 MT,2148.50 MT,2184.75 MT,3351.75 MT,D
2,A back pressure trip on an auxiliary turbo generator  functions to secure the device if the __________.,oil pressure is too low,discharge pressure of a turbine driven pump is excessive,gland seal leak off pressure is too high,exhaust pressure rises above a preset limit,D
3,A boiler feed stop-check valve would be located at the __________.,DC heater outlet,first stage feed water heater outlet,boiler water drum,economizer discharge,D
4,A bridge gage is normally used to determine turbine __________.,bearing oil clearance,diaphragm tip clearance,blade axial clearance,bearing wear,D
5,A broken diaphragm in a thermostatic expansion valve will cause the valve to                   .,return to a neutral position,flood the evaporator,open,close,D
6,A bronze bearing liner with a lead-tin flashing has a  milky-white color over most of its surface and some areas of exposed bronze. The white coloring indicates __________.,proper break-in wear,improper break-in wear,relocation of the overlay flashing,water contamination of the lube oil system,D
7,"A burner producing black smoke in an automatic auxiliary boiler, would be caused by a/an                              .",incorrect electrode setting,defective solenoid valve,grounded high tension lead,incorrect primary air setting,D
8,"A burner producing black smoke in an automatic auxiliary boiler, would be caused by a/an                              .",incorrect electrode setting,defective solenoid valve,grounded high tension lead,incorrect primary air setting,D
9,A casing drain is provided for axial piston and bent axis variable stroke pumps to __________.,vent off any accumulated air from the system,drain off any accumulated water from the pump casing prior  to its being started,assist the complete removal of hydraulic oil from the system prior to opening for major or minor repairs,prevent damage due to agitation and overheating of oil accumulated in the casing as a result of normal internal leakage,D
10,A centrifugal pump designed to handle a liquid with a temperature of 250°F or greater must be provided with __________.,a semi-mechanical seal,helical grooved wearing rings,self adjusting packing,a liquid seal line,D
11,A centrifuge will satisfactorily remove which of the listed substances from lube oil?,Diesel fuel,Gasoline,Fuel oil,Carbon particles,D
12,A change in the degree of fuel atomization in a diesel engine cylinder has the greatest effect on the __________.,cylinder air turbulence,fuel spray angle,fuel injection rate,combustion in that cylinder,D
13,A check run on a hydraulic anchor windlass during long periods of inactivity should be carried out to __________.,prevent chemical breakdown of hydraulic fluid,remove condensation from the fluid reservoir,prevent the anchor from seizing in the hawsepipe,renew the internal coating of lubrication,D
14,A check valve is located between the economizer and the steam drum to __________.,assure a positive feed water flow through the economizer,assure a positive feed water flow to the steam drum,prevent the feed pump from becoming vapor bound,prevent steam and water flow reversal from the drum  should an economizer casualty occur,D
15,A chemical based analysis of boiler stack gases is taken to __________.,determine the volume of the SO2 products of combustion,estimate the amount of noncombustible solids present in fuel oil,estimate the BTU content of a quantity of fuel oil,measure the percentage volume of CO2,D
16,A closed freshwater cooling system is commonly used with marine diesel engines because the                            .,need for water treatment is eliminated,cooling water temperature differential is greater,cooling water pumps are directly reversible,jacket water temperature is more easily controlled,D
