"FUNCTION 2: ELECTRICAL, ELECTRONIC AND CONTROL ENGINEERING AT THE ENGINE MANAGEMENT LEVEL",,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer
1,A 120 volt battery is rated at 800 amp-hours for a continuous 50 kW load.  Approximately how long will the fully charged battery be able to supply a continuous 50 kW load before the battery rating is exceeded?,60 minutes,75 minutes,90 minutes,115 minutes,D
2,"A 12-volt battery is connected to parallel arrangement of a three-ohm, a two ohm and a six ohm resistor. What is the total resistance?",2 amps,4 amps,6 amps,12 amps,D
3,"A 20 hp synchronous motor has a full load efficiency of 90 % and operates at a power factor of 0.8 leading. Calculate the kva input to the motor. Given: 20 hp synchronous motor, Ef: at F1= 90%,Pf= 0.8 leading.", KVA= 21.90 kva,KVA= 20.72 kva, KVA= 20.70 kva, KVA= 21.80 kva,D
4,A bourdon tube-type steam pressure gage is fitted with a siphon loop to prevent damage from the direct effects of ,pressure shock,uneven expansion,entering condensate,entering steam,D
5,A burned-out LED should be indicated by __________.,excessive output,a slight glow in the crystal,excessive illumination,no illumination,D
6,A circuit breaker for a 300 KW alternator is rated at 470 amperes of full continuous load.  The amount of over current allowed is 125%.  Which of the following conditions will trip the breaker?,Sustained current flow of 470 amperes.,Sustained current flow of 500 amperes for 10 minutes.,Momentary starting load of 550 amperes.,Sustained current flow of 590 amperes.,D
7,A coil is wound with 200 feet of No. 16 tinned copper wire  and connected to a 12 volt battery.  What is the current if the resistance per 1000 feet of No. 16 tinned copper wire is 4.26 ohms?,Oscilloscope,7.04 amps,10.22 amps,14.08 amps,D
8,A DC shunt generator has its field windings connected in __________.,series with the series windings,parallel with the field rheostat,series with the armature windings,parallel with the armature windings,D
9,A degree of control over the speed of the slip induction motor can be obtained by________., inserting the resistance into the stator circuit, changing the number of phases to the motor, adjusting governor, inserting the resistance into the rotor circuit,D
10,"A device that connects the motor to the supply without the use of a resistance or autotransformer to reduce the voltage. It may consist of a manually operated switch or a master switch, which energizes an electromagnetically operated contractor _______.", drum controller, automatic starter, starter, across the line starter,D
11,A lamp has a source of voltage of 110 V and a current of 0.8 amps. What is the resistance of the lamp?,88 ohms,12.2 ohms,122.2 ohms,137.5 ohms,D
12,A loud buzzing noise in an AC controller is probably caused by_____________.,abnormal starting current,poor contact with the overload relay,a wrong size heater,a broken shading coil,D
13,A low voltage protection device is used on motor starting equipment to_______________.,trip circuit contractor when the motor overspeed due to low voltage,trip circuit contractors when the motor develops a short circuit,allow the motor to restart automatically on restoration voltage without manually resetting ,prevent the motor from restarting automatically,D
14,A reservoir is used in a hydraulic system to __________.,store fluid until required by the system,provide a place for air to separate out of the fluid,provide a place for contaminants to settle out,all of the above,D
15,A resistor in parallel to the output of a power supply___________.,is a temperature compressor,corrects power factor,prevents excessive currents ,aids in output voltage regulation,D
16,A shaded pole motor is a____________motor,synchronous,three phase induction,compound,single-phase induction,D
17,A short circuit may be measured by_____________.,megger,voltmeter,dynamometer,ammeter and ohmeter,D
18,A short in a DC motor would be detected by_____________.,leading,ground lights,blackened bars,vibration,D
19,A shunt-wound DC generator is one in which the shunt field  windings are in parallel with the __________.,shading coil,brushes,armature,all of the above,D
20,A single-phase induction motor fails to start.  The rotor is spun rapidly with the line switch closed.  Having started by this method it is noted that the motor fluctuates between a very slow speed and half speed.  The problem probably lies  in the ______,starting winding,centrifugal mechanism,centrifugal switch,running winding,D
21,A switchboard for an AC electrical distribution system will be provided with which of the following components?, frequency meter, ammeter, voltmeter, all of these choices,D
22,A tubular fuse should always be removed from a fuse panel with __________.,a screwdriver,a pair of insulated metal pliers,any insulated object,fuse pullers,D
23,A voltage regulator on a shunt wound generator varies the____________.,armature current,resistance of the both the armature and the field circuit,resistance of the armature series,resistance of the field circuit,D
24,A voltmeter is connected in a circuit in_____________.,relay ,series,series parallel,parallel,D
25,A water-soluble substance or brackish compound that is capable of reacting with an acid to form a salt. An alkaline substance containing a number of free gydroxyl ions _________.,monitoring signal, acidic, alkaline, base,D
26,"AC circuit contains capacitance in series. If the line voltage remains constant, the capacitive reactance can be varied by changing the ___________.",line frequency,resistance,number of commutating poles,increase the speed of the prime mover,D
27,Accidental grounds in a shipboard electrical system must be repaired as soon as possible as they will __________.,result in immediate power outages,damage circuit breakers,overload the ground detection system,damage insulation and may cause outages,D
28,"According to 46 CFR, which of the following statements is true regarding  electric receptacle outlets?",There must be a sufficient number of receptacle outlets in the crew accommodations for an adequate level of habitability.,Each receptacle outelt must be compatible with the voltage and current of the circuit in which it is installed.,A receptacle outlet must not have any exposed live parts with the plug opening uncovered.,All of the above.,D
29,"An AC generator operating in parallel, loses its excitation and the generators circuit breaker fails to trip will_____________.",continuity,cause the slip rings to melt,cause low voltage differential between the armature and the bus,cause high currents to be induced in the field windings,D
30,An alternator will fail to develop its rated voltage if_______________.,it is not up to frequency,there is no excitation,the governor is malfunction,all of the given answers,D
31,Automatic voltage regulators provided on switch boards has function to _____., regulate the AC load on the generator, protect the switch from excessive current, regulate diesel generator's engine speed, vary the field excitation to the generators,D
32,Autotransformer starters or compensators are sometimes used with polyphase induction motors to:,reduce the voltage applied to the motor during the starting period,"increase the voltage for ""across the line starting""",provide a back-up means of voltage regulation for emergency starting,allow the voltage to be either stepped up or down depending on the application to ensure full torque,D
33,"Before using a volt-ohmmeter to measure resistance readings, you should __________.",replace all batteries,test the insulation resistance of the leads,make sure the test leads do not touch,hold the leads together and 'zero' the meter,D
34,"Before you touch a small capacitor which is connected to a de-energized circuit, or which disconnected entirely, you should ____.", Be equipped with an insulated fuse puller, Tag it with a de-energized tag, Gently tap it with a screwdriver, Short circuit the terminals to make sure that all the capacitors is discharged,D
35,Brushes in a generator must be positioned in the neutral plane to avoid sparking between the brushes and the __________.,one line terminal to each coil lead succession ,armature windings,field pole windings,commutator,D
36,Capacitors can be tested using a megohmmeter or an ohmmeter. If the meter is connected to a shorted capacitor the meter pointer should____________.,immediately swing to a high reading and then gradually decrease,first swing quickly to zero and remain here,immediately swing to the maximum resistance value for the capacitor,immediately deflect to zero and remain there,D
37,Coast Guard Regulations (46 CFR Part 111) state that transformer windings must be resistant to __________.,moisture,sea atmosphere,oil vapor,all of the above,D
38,"Conductors and busbars on a switchboard, panel board or control board shall be so located as to be free from _________.", none of the given answers, obstruction, dirt  , physical damage,D
39,'Corrosion-resistant material' and 'noncorrodible material' will include which of the following __________.,brushes,silver,copper-nickel,all of the above,D
40,Differential pressures can be measured with the use of a,diaphragm type gage,pressure transducer,manometer,any of the above,D
41,Electrical power is expressed in __________.,ohms,volts,amps,watts,D
42,Electrostatic forces in the high voltage circuits cause indicating instrument to give ______., parallax reading, highly intuitive reading, highly accurate, inaccurate readings,D
43,Function of compensating windings on a DC generator is to_______________.,prevent cross commutation,increase armature coil strength,increase field strength,neutralize armature reaction,D
44,Handled phase sequence indicators are useful when ________., preparing to parallel alternators, connecting lightning circuit, troubleshooting DC meters, connecting power lines to ship,D
45,How many 1.5 volt batteries are required to supply a load of 12 volts if the batteries are connected parallel?,ohms,6,3, None of these choices,D
46,"If a D.C. motor does not run when energized, which of the listed conditions could exist?",Incorrect lead connections,Incorrect brush setting,A dirty commutator,All of the above are correct.,D
47,"If a magnetic controller relay fails to drop out when coil voltage is removed from the relay, the cause may be______________. ",excessive spring tension,over voltage,excessive current,welded contacts,D
48,"If an induction motor were to be operated at 90% rated voltage, __________.",there would be an increase in starting torque,starting current would increase slightly,synchronous speed would decrease slightly,the slip would increase,D
49,If two alternators are operating in parallel with a load greater than either one is capable of carrying one of them has to be cut out you should., Increase excitation, Increase the voltage of the machine that is to stay on the line, Speed up the machine that is to stay on the line, Eliminate some branch circuit to reduce the load,D
50,"In a 60 Hz AC system, the current will pass through one complete cycle in __________.",60 seconds,6 seconds,1 second,.016 of a second,D
51,"In a D.C, series circuit, all the conductors have the same:",power expanded in them,voltage drop across them,resistance to the flow of current,current passing through them,D
52,"In a DC series circuit, all the conductors have the same __________.",a high commutator bar,voltage drop across them,resistance to current flow,current passing through them,D
53,"In a logic circuit, the NOT gate function __________.",does not alter a logical input,serves to amplify a given signal level,must be accomplished with a common collector transistor arrangement,reverses an input logic condition,D
54,"In a series circuit, the entire source voltage will drop across ____________.",the resistor next to the negative terminal,a short circuit,the resistor next to the positive terminal,an open circuit,D
55,"In AC motor turboelectric power plant, the propeller speed is controlled by varying the_________.",propulsion generator strength,number energized motor poles,electric coupling,turbine speed,D
56,"In order to take a current with a ""clamp-on"" ammeter, the instrument jaws ______.", should remain open, cannot touch the adjustment conductor, must be fully closed, will act transformer primary,D
57,"In testing a three-phase delta winding for an open circuit  using a ohmmeter, you must __________.",test each phase with all connections intact,measure the voltage across the open connections while testing,test the windings as parallel groups to avoid short circuiting,open the delta-connections to avoid shunting the phase being tested,D
58,"In trouble shooting AC motors, a growler should be used for locating____________coils.", grounded, open field, open field, shorted stator,D
59,In which of the situations listed will a megohmmeter give the most accurate readings?,While the machine is in operation.,While the machine is discharging static electricity.,Immediately prior to restarting the machine.,When the machine has been shut down and grounded for a period of 15 minutes.,D
60,Increasing the frequency of an AC generator is by_____________.,increase the field excitation,decrease the field excitation,increase the number of poles,increase the speed of the prime mover,D
61,It controls or prevents the action of the starting lever of the main engine to be moved in a direction contrary to the telegraph demand in an automated vessel?,Engine governor,Master Valve,Interlock Circuit,Blocking Device,D
62,It is a kind of current that flaws in one constant direction.,shifting the neutral plane of the brush rigging,Pulsating,Alternating ,Direct,D
63,It is a kind of electric relay having a small heating element connected in series with the motor which will open a par of contact if these elements produce sufficient heat.,Current relay,Voltage relay,Magnetic relay,Thermal relay,D
64,It is a kind of tester that can effectively finds out whether a solution is an acid or an alkaline.,table salt ,hydroxyl iron ,color indicator ,litmus paper ,D
65,It is a safety gadget to use when testing the spacific gravity of storage battery water.,Safety shoes,Long sleeves coverall,Safety goggles,Rubber handgloves,D
66,It is a type of transformer where the high voltage winding is entirely being wound over the top of the low voltage winding.,Conventional,H-type,Core,Shell,D
67,It is an electric device that receives the signal the bridge then transmits the signal to the hydraulic pump of the steering gear system is a _______________.,Power relay ,Current Relay,Thermostatic Value,Solenoid Value,D
68,It is an electrical instrument being used to observe and measure the wave forms in an alternating current.,Magnetic Breaker,Voltmeter,potentiometer,Ammeter,D
69,It is the best insulator material being widely used in electrical installations.,wood ,water,copper,glass,D
70,It is the kind of safety electric device that is being used to protect both the motor and wiring from excessive resistance.,Fuse,Rheostat,Circuit Breaker,Overload Relay,D
71,It is the safest precautionary measure to be done prior working on the motor of the cargo winch.,Voltmeter,Inform chief officer that winch cannot be usedfro cargo operation,Put the boom at its rest before work start,Switch off main switch and put sign do not switch on,D
72,It is type of transformer where the high voltage winding is entirely being wound over the top of the low voltage winding.,Conventional,H-type,Core,Shell,D
73,Motor starter or controller contacts may become welded together if the contacts __________.,open too quickly and arc,close under excessive pressure,open or close too quickly,close under excessive starting current,D
74,One important difference between wye-connected and  delta-connected generators is that delta connections have __________.,line voltages equal to the vector sum of the phase voltages,phase voltages 90° out of sync,line current equal to the phase current,line voltage equal to the phase voltage,D
75,One of the factors which determine frequency of an alternator is controlled by the __________.,output voltage,number of turns of wire in the armature coil,strength of the magnet used,number of magnetic poles,D
76,Power transformers are rated in __________.,kilowatts-amps,ampere-turns,kilowatt-volts,kilovolt amperes,D
77,"Prior to starting an AC generator prime mover,the voltage regulator cut out switch should be placed in the_____.",transfer position,raise voltage position,bus neutral position,manual position,D
78,Refers to an action in the operation of secondary cells reforming the electrodes in a chemical reaction where DC voltage is supplied externally ________., Aligning the cells,  Discharging the cells, Charging the cells, Polarizing the cells,D
79,Reversing the current flow through a coil will____________.,reduce the amount of flux produced,have no effect on its eddy currents,reduced the power consumed,reverse it two-pole field,D
80,Sparking of D.C. motor brushes can be caused by __________.,an open commutating winding,"many mechanical, electrical or operating faults",an open interpole,all of the above,D
81,Sustained high temperature in lead-acid batteries causes____________.,a lower specific gravity,a breakdown of the water ,increased current,lead sulphate,D
82,The advantages if the field is rotating instead of the winding to be revolving in an AC generator?  I - Ships ring not needed in the delivery of AC  II - Armature windings are more easily braced  III - Easier to insulate armature windings  ,I and II,I and III,II and III,"I, II, and III",D
83,The air gap in induction motors should be checked periodically with a feeler gauge to guard against an unequal air gap and,increased power factor,decreased motor magnetizing current,hysteresis loses,mechanical damage to the rotor,D
84,The D.C. generator that gives information about the speed of a motor is called a/an ________________.,Potentiometer,Ammeter,Wattmeter,Tachometer,D
85,The device that measures pressure and convert it into an electrical signal is the_______________.,rectifier,transformer,reducer,transducer,D
86,The dieelectric is a___________.,semi-conductor material,good conductor,current flow,electric insulator,D
87,The division of kilowatt load between AC generators operating in parallel is controlled by the settings of ______________.,dangerous acid burns,field rheostats,reverse power relay,prime mover governors,D
88,"The effect of 'reset',  when added to a proportional controller is to __________.",make the controller correction proportional to the rate at  which the input change takes place,accelerate the corrective action so as to minimize the possibility of hunting,make the corrective action of the controller proportional to the deviation of the controlled variable from the set point,repeat the proportional action until the controlled variable returns to the set point,D
89,"The electric device having a small heating element connected in series with the motor, which will open a pair of contact if these elements produce sufficient heat is called ______________.",Current relay,Voltage relay,Magnetic relay,Thermal relay,D
90,The electric device that is being used to maintain the elecromotive force within specified limits even with different load is a/an ________________.,equalizer,Rheostat,Overload relay,voltage regulator,D
91,The electrical energy necessary ti transmit a person's voice over a sound powered telephone circuit comes from:,dry cell batteries,the ship's service switcsboard,emergency switchboard,"speaker,s voice",D
92,The electrical properties listed will always be the same for each component in a parallel circuit.,current,resistance,impedance,voltage,D
93,The element/ss that control/s the desired temperature in the outlet of a jacket cooling cooler through the bypass controller is/are______________.  I - Air  II - Oil  III - Electric,II only,III only,I and II,I and III ,D
94,The function of the hydraulic telemotor transmitter used in an electro-hydraulic steering gear system is to __________.,transmit the rudder angle to the bridge indicator,prevent the control linkage from striking the stops when hard over,automatically purge all entrained air from the system,send hydraulic signals to the receiving unit,D
95,The inductance of a coil is measured in___________.,coulomb,ohm,farad ,henries,D
96,The kind of relay where the positions of one relay affects the operation of another relay is___________.,Overlapped,Thermal,Magnetic,Interlocked,D
97,The load sharing characteristics of two diesel alternators  operating in parallel are directly related to the setting of their governors' __________.,load limit,idle speed,speed limit,speed droop,D
98,The measuring device used to find out the difference between the air inlet and the air outlet pressures of an air cooler through column of water.,Compound Gauge,Pneumercator Gauge,Pyrometer,Manometer,D
99,The method used to produce electron emission in most vacuum tubes is known as __________.,photoelectric emission,secondary electric emission,cold cathodic electric emission,thermionic emission,D
100,The most common material that is being used in producing electricity for a powerful use is a/an ______________.,Solution,Electrodes,Chemical,Magnets,D
101,The most common type of AC service generator found aboard ship is the stationary __________.,field rheostat,"electromagnetic field, oscillatory armature type","armature, oscillatory electromagnet field type","armature, rotating electromagnetic field type",D
102,The most common type of AC service generator found aboard ship is the:,electromagnetic field -revolving armature type,electromagnetic field -oscillatory armature type,armature-orscillatory electromagnetic field type,armature-rotating electromagnetic field type,D
103,The most important part/s in producing electricity through magnetism is/are ______________?  I - Magnetic Field  II - Stationary Wires III - Electric Motors,I only,III only,II and III,I and II,D
104,The multiple prefix 'tera' (T) means __________.,thousand  (10 to the 3rd power),million  (10 to the 6th power),billion  (10 to the 9th power),trillion  (10 to the 12th power),D
105,"The output voltage of a 440 volt, 60 HZ ac generator is controlled by the _______________.",load on the alternator,load on the prime mover,speed of the prime mover,exciter out put voltage,D
106,The output voltage of a three-phase alternator is regulated by the______________.,AC voltage to the armature,AC voltage to the field,DC voltage to the armature,DC voltage to the field,D
107,The part of a fuse that melts and opens an electrical  circuit is typically made of __________.,copper and antimony,steel and babbitt,aluminum or beryllium alloy,zinc or an alloy of tin and lead,D
108,The part of an alternating current generator that carries the generated alternating current to the load is the _______________.,armature,carbon brush,commutator,slip ring,D
109,"The part of the shipboard electrical system used to control the distribution of power to the branch circuits, is the __________.",bridge control panel,disconnect links,governor relay box,main switchboard,D
110,The plates of a wet cell NiCad storage battery are made of __________., armature-oscillatory electromagnet field - type,lead and lead peroxide,silver oxide and lead sulfate,combinations of nickel plus cadmium salts,D
111,The power supply of a megger is obtained from__________________.,any 115 volt DC circuit,any 115 volt AC circuit,batteries,a magneto,D
112,The process of self-excitation in a self-excited DC generator is able to begin as soon as the prime mover begins to turn due to the ___________.,presence of eddy currents in the armature,action of current transformers,edance of the armature windings,presence of residual magnetism in the field poles,D
113,The purpose of a short circuit forcing VESSELle (short time  trip) installed in a branch line is to provide __________.,high speed clearance of low impedance short circuits in the branch,continuity of service on main bus under short circuit conditions in a branch,isolation of short circuits by selective tripping of branch circuit breakers,all of the above,D
114,"The purpose of the reverse power relay, provided on a ship's service alternator panel, is to trip the circuit in the event of __________.",main circuit overload,high power transfer,generator overspeeding,alternator motorization,D
115,The relay that can well protect a motor against high ambient temperature or inadequate ventilation that can be adjusted manually or automatically is a_____________.,current relay,voltage relay,magnetic relay,thermistor relay,D
116,The removal of paint from electrical equipment such as generators should be cautiously undertaken because., paint dust build-up has to cause corrosion, phase winding is frequently isolated from each other due to dust interference of the terminals , the mechanical shock of paint removal lessens the dielectric strength of the insulation, the paint dust is composed of abrasive and semi-conducting materials which impair insulation,D
117,The resistance of a conductor varies__________________.,inversely as its length and inversely as it cross sectional area,directly as its length and directly as its cross sectional area,inversely as its length and directly as its cross sectional area,directly as its length and inversely as its cross sectional area,D
118,The safety gadget to use when testing the specific gravity of storage battery water is______________., Safety shoes,Long sleeves coverall,Safety goggles,Rubber handgloves,D
119,The shore power circuit breaker may be closed only_____________.,when the ships generators have been parallel to those on shore,in a shipyard,if a quick disconnect coupling is used,when the ships generators have been removed from the bus,D
120,The solenoid valve can be types as a:,thermal valve,bellow valve,bimetal valve,magnetic stop valve,D
121,The specific gravity of the electrolyte solution in a lead-acid battery___________.,0,remain the same during discharge,would read close to 1.830 when discharged,gives an indication of the state of charge of the battery,D
122,The speed  of a synchronous motor is varied by:,increase the current carrying capability for a given size wire,changing the input frequency,interchanging any two of the three live leads,increasing the field excitation,D
123,The sub-multiple prefix 'pico' (p) means __________.,thousandth  (10 to the -3rd power),millionth  (10 to the -6th power),billionth  (10 to the -9th power),trillionth  (10 to the -12th power),D
124,The types of self excited compound D.C. generators commomnly used are ___________.I. Cumulatively compound II. Differentially compound III. Short or long shunt,I & II,I & III,II & III,"I, II, & III",D
125,The unit of electrical resistance is the __________.,ampere,volt,watt,ohm,D
126,The unit of the electrical power is the ____________.,ampere,kilovolt,amps,watts,D
127,The variable resistance placed in the rotor circuit of a form-wound induction motor provides for_____________con.,speed,frequency ,voltage,starting torque,D
128,The voltage generated by most AC generators is brought from the machine to the bus by means of.,brushes on a commutator ,brushes on slip rings,slip rings on a commutator,direct connecting from the stator,D
129,The voltage leads the current by 90 electrical degrees in an AC circuit which has_________.,capacitance only,the resistance equal to the sum of the inductive and capacitive reactance,the capacitive reactance is equal to the inductive reactance,inductance only,D
130,These are the advantage of autotransformers over that of mutual induction transformers of the same capacity. I. Less cost    II. Better voltage regulation   III. Lighter in weight,low voltage protection,II & III,I & III,"I, II, & III",D
131,These are the advantages of the alternating current over the use of direct current.  I - AC current can do more than DC   II - Transmission is easier and economical  III - AC voltage can be increased or decreased easily,I and II,I and III,II and III,"I, II, and III",D
132,These are the elements that contain both series and parallel combinations to form the total oppositions called impedance fo the flow of current in an AC electric circuit.  I - Resistance   II - Inductance  III - Capacitance,I and II,II and III,I and III ,"I, II, and III",D
133,"Three factors responsible for the change in voltage as load is applied to an AC generator are: 1) the drop in resistance in the armature circuit, 2) the change in flux, and 3) the  __________.",armature winding speed,inductance load drop,coil pitch factor,armature reactance voltage drop,D
134,"To locate a grounded stator coil, you could use a/an____________.",ammeter,ground  detective lamp,magnets,megger,D
135,Transformer aboard ship are used with AC generators to ______________.,change frequency ,increase power out put,decrease power out put,permit higher voltage for motor operation,D
136,"Two AC generators are operating in parallel and both are equipped with automatic voltage regulators.  While standing watch, one generator is noted as having a greater lagging kvar value.  In order to equalize the kvars between the generators you should __",increase the speed of the generator with the largest kvar while decreasing the other generator speed,decrease the speed of the generator with the largest kvar while increasing the other generator speed,increase the voltage of the generator with the largest kvar while decreasing the other generator voltage,decrease the voltage of the generator with the largest kvar while increasing the other generator voltage,D
137,Undervoltage trips are frequently installed on switchboard  circuit breakers to __________.,trip out generators in the event of severe arcing or sparking,trip out generators when there is reversal of power in the main circuit,"trip out the breaker if the generator overspeeds by 5%, but continues to run",trip out the generator when there is insufficient voltage being delivered to distribution circuits,D
138,"Violent gassing from a lead-acid battery while it is being  charged, indicates that the __________.",plate separators are grounded,battery compartment ventilation is inadequate,electrolyte specific gravity is too low,charging rate is too high,D
139,Voltage generated by modern revolving field  AC generators is fed to the bus by means of __________.,brushes on a commutator,brushes on slip rings,slip rings on a commutator,direct connections from the stator,D
140,What are good characteristics of an autotransformer as compared to other types of transformers? I - Efficiency is extremely high  II - Short circuit current is high  III - Physical size is very small,I and III,II and III,I and II,"I, II, and III",D
141,What do you call the D. C. generator that gives the information about the speed of a motor?,Potentiometer,Ammeter,Wattmeter,Tachometer,D
142,"What electric components is used as a filter because of its capability of shorting out the pulse, not the DC and the final result is almost pure DC as the output?", Diode, Resistor, Transistor, Capacitor,D
143,What electric device is being used to maintain the electromotive force within the specified limits event with the different loads?,Rheostat,Voltage Regulator,Frequency meter,Equalizer,D
144,What is an electric device that is being used to maintain the electromotive force within specified limits even with different loods?,Rheostat,Equalizer,Frequency meter,voltage regulator,D
145,What is mounted in the rotating part of a D. C. generator where the output is taken from?,Field ,Rotor ,Brush,Armature,D
146,What is the electric device that is connected to the field for the purpose of adjusting the output voltage to the value at which it is required to be maintained?,Switch,Breaker,Fuse,Rheostat,D
147,What is the first alarm to sound or indicate if there is a failure in a pneumatic controller system of lube oil cooler?,Low lube oil pressure,Low air supply pressure,High air supply pressure,High lube oil pressure,D
148,What is the first to do if you find somebody who is unconscious inside the mast house onboard?,Carry him to the doctor,Take his pulse beat immediately,Apply mouth to mouth resuscitation,Find out if electrocuted,D
149,What is the function of the voltage regulator fitted to AC generators operating in parallel?,To divide the reactive current equally between the generator, To cut-out generators not needed because of reduction in load, To cut-in generators automatically as they are needed, To divide the KW equally between all connected generators,D
150,What is the most common material that is being used in producing electricity for big power used?,solution,electrodes,chemical  ,magnets,D
151,What is the overall result of increasing the load on the secondary of a transformer?,decrease in the primary current,decrease in the primary voltage,increase in the primary voltage,increase in the primary current,D
152,What is the safest precautionary measure to be done when working on the motor and other electric job of the cargo winch?,Inform master that a cargo winch motor needs repair,Inform chief officer that winch cannot be usedfro cargo operation,Put the boom at its rest before work start,Switch off main switch and put sign do not switch on,D
153,"What is the wattage of a heating element drawing a current  of 30 amperes, at 120 volts?",120,99.97 watts,360 watts,3600 watts,D
154,What kind of conduit is being widely used underground wiring due to its easy installation and does not rust?,Rigid steel,Rigid Aluminum,Metallic tubing,Polyvinyl chloride,D
155,What kind of current that flaws in one constant direction?,Eddy,Pulsating,Alternating ,Direct,D
156,What kind of electric cable is being used nowadays to wet locations such as outbuilding?,Lead sheathed,Armoured sheathed,Aluminum sheathed,Nonmetallic sheathed,D
157,What kind of electrical instrument used in measuring high resistance in a high voltage electrical circuit?,clampmeter,Ammeter,potentiometer,ohmmeter,D
158,What kind of hand gloves should be used onboard when working on electrical jobs to avoid shock?,leather,cotton,silk,rubber,D
159,What material is being used in an electric circuit that have very few free electrons?,glass,rubber,wood,silver,D
160,What method is used to produce electron emission in most vacuum tube is______________.,photoelectric,secondary,cold cathode,thermionic,D
161,What provide the initial torque to turn a DC generator?,residual magnetism in the field poles,residual magnetism in the field poles,residual magnetism in the armature,a mechanical prime mover,D
162,What will be the result if the AC generator operating in parallel looses its excitation without tripping the circuit breaker?,Not affect the faulty generator due to the compensation of the other generators,Cause the slip rings to melt, Cause a low voltage differential to develop between the armature & the bus,Cause high currents to be induced in the field windings,D
