FUNCTION 3: MAINTENANCE AND REPAIR AT THE ENGINE MANAGEMENT LEVEL,,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer
1,"A ""hydroscopic"" lubricant used in refrigeration compressors would have the characteristic of  __________.",losing its lubrication qualities at higher temperatures,being highly toxic,decreasing in viscosity at low temperatures,having a high affinity for water which requires it to be kept in a sealed container.,D
2,A 11 knots ship has a 17 feet pitch propeller. If the speed is 75 RPM. Find the slip. Is the slip positive or negative?,-7.85,9.89,-1075,12.55,D
3,A casing drain is provided for axial piston and bent axis variable stroke pumps to __________.,vent off any accumulated air from the system,drain off any accumulated water from the pump casing prior  to its being started,assist the complete removal of hydraulic oil from the system prior to opening for major or minor repairs,prevent damage due to agitation and overheating of oil accumulated in the casing as a result of normal internal leakage,D
4,A centrifugal pump designed to handle a liquid with a temperature of 250°F or greater must be provided with __________.,a semi-mechanical seal,helical grooved wearing rings,self adjusting packing,a liquid seal line,D
5,A centrifuge will satisfactory remove from lube oil which of the substance listed?,diesel fuel,gasoline,fuel oil  ,carbon particles,D
6,A check run on a hydraulic anchor windlass during long periods of inactivity should be carried out to __________.,prevent chemical breakdown of hydraulic fluid,remove condensation from the fluid reservoir,prevent the anchor from seizing in the hawsepipe,renew the internal coating of lubrication,D
7,"A chief engineer's responsibilities include making logbook  entries whenever fuel oil is received.  In accordance with Coast Guard Regulations (46 CFR), this log entry must include the __________.",name of the vendor,name of the oil producer,flash point (closed cup method) of the fuel oil certified by the producer,all of the above,D
8,A clearance volume for a single stage compressor is defined as the space created between the_______.,"bottom of the position an dbottom side of the head, at TDC, regardless of upper ring location and valve placement","piston and head, including space around the piston to th etop of the upper ring and under the valves, with the piston at TDC",top notch of th episton and bottom side of the head at TDC as compared to that which exist between the top of the piston and side,"top piston and bottom side of head, with the piston at BDC",D
9,A cracked diaphragm in a thermostatic expansion valve will  cause the valve to __________.,return to a neutral position,flood the evaporator,open,close,D
10,A dehydrator installed in a refrigeration system is used to remove __________.,noncondensable gases and vapors,oil from the refrigerant,refrigerant from the oil,moisture from the system,D
11,A drilled hole is accurately finished to size with a __________.,center drill,finish drill,broach,reamer,D
12,"A filter commonly mixed with grease, such as graphite, acts                           .",as a filter to smooth surface inequities,to lower the friction coefficient,as a mild abrasive,all of these,D
13,A furnace atmosphere which has no excess of either fuel for air is called ____________.,Oxidizing,Reducing,Normalizing,Neutral,D
14,A gradual decrease in the discharge pressure of an operating hydraulic pump can be caused by __________.,the four-way control valve failing to shift,the bleeder valve sticking in the open position,cold hydraulic fluid,a clogged air vent filter on the oil reservoir,D
15,"A graphite filler commonly mixed with grease, acts __________.",as a mild abrasive,to smooth surface irregularities,to lower the friction coefficient,all of the above,D
16,A hacksaw blade will break if __________.,the rate of cutting is too great,the blade becomes loose in the frame,too much pressure is applied to the blade,all the above,D
17,A heat control valve used in cooling system which controls the flow of coolant in relation to the temperature is _____________.,poppet valve,expansion valve,thermocouple,thermostat,D
18,A knocking sound from an unloaded air compressor is probably is caused by __________.,damaged intake valves,excessively tight mounting bolts,insufficient cylinder lubrication,a loose piston,D
19,A liquid sight flow indicator in a refrigeration system is  examined and gas bubbles are noted in motion with the fluid flow.  This means __________.,the system is fully charged,there is air leaking in from the condenser,ice crystals are forming in the refrigerant,the system contains less than a full charge of refrigerant,D
20,A lower thermostatic temperature setting will generally tend to cause an air conditioned space to have a __________.,lower relative humidity,lower air circulation,higher air circulation,higher relative humidity,D
21,A measurement of .2344 inches is equal to __________.,11/32 inches,15/32 inches,11/64 inches,15/64 inches,D
22,A mechanical carbon dioxide recorder operates by detecting  the difference between air and the __________.,color of boiler flue gases,temperature of the flue gases,soot content of the flue gases,specific weight of the flue gases,D
23,"A mode of control, whereby the speed of motion of the final control element is linearly proportional to the deviation of the controlled variable from set point, is called __________.",rate control,derivative control,two position control,integral control,D
24,"A partially fouled liquid line strainer in the refrigeration system will cause __________.

I. an increase in the percent of flash gas
II. desireable subcooling of the liquid",I only,II only,Both I and II,Neither I nor II,D
25,A pump shaft that is bent or distorted should normally be:,straightened by applying heat and torsion,replaced wit a new pump shaft,repaired by a suitable welding process,reconditioned by metallizing & machining,D
26,A reciprocating pump whose plunger connects to the crankshaft that is geared to the countershaft and connected to a driving motor by a flat belt;,Power pump,Duplex pup,Fresh water pump,Extractor,D
27,A record of the types and strengths of steels used on a VESSEL must be included in the __________.,general plans,builder's documentation,Certificate of Inspection,construction portfolio,D
28,A refrigerant used in a mechanical refrigeration system should have which of the following characteristics?,High boiling point,High freezing point,Low specific heat,Low boiling point,D
29,"A refrigeration system is equipped with a reciprocating compressor and a water cooled condensing unit.  If the system is overcharged, the resulting high head pressure will be caused by __________.",the expansion valve overfeeding the evaporator,a leaking compressor suction valve,an incorrectly adjusted high pressure cutout,refrigerant flooding the condenser,D
30,"A safety valve with a 2-inch diameter disk has a compressed spring applying 2,400 pounds of force to the top of the valve disk in opposition to system pressure.  Which one of the following is the approximate system pressure at which the safety valve will ",95 psig,191 psig,382 psig,764 psig,D
31,A screwdriver should never be used as a __________.,pry bar,chisel,punch,all of the above,D
32,A thread die will be easier to start if the end of the shaft to be threaded is slightly __________.,peened,reamed,center drilled,chamfered,D
33,"A welding electrode is marked E-6010, this designation means that __________.",the electrode may be used in the flat position only,"the minimum tensile strength of the weld metal will be 70,000 psi",either insulated or uninsulated electrode holders may be used,the electrode is to be used for shielded metal arc welding,D
34,"A wrench that completely surrounds a nut, or bolt head is a/an __________.",adjustable wrench,open end wrench,tappet wrench,box wrench,D
35,"Aboard a VESSEL, a CO2 fire extinguisher must be weighed __________.",monthly,quarterly,semiannually,annually,D
36,"According to 46 CFR, the tailshafts of a twin screw ocean going vessel must be examined and inspected in the presence of a marine inspector __________.",each time the vessel is drydocked,at least twice every five years,at every annual inspection,at least once every five years,D
37,"According to Coast Guard Regulations (46 CFR), a fresh water evaporator is classified as a/an __________.",auxiliary boiler,fired pressure vessel,auxiliary condenser,unfired pressure vessel,D
38,"According to Coast Guard Regulations, flexible hoses used as supply and return lines  to hydraulic system components, must have __________.",the working pressure of the system stamped on one of the end fittings,the working pressure of the system stamped on both of the end fittings,an inner tube constructed of seamless reinforced polyester  braid,a designed bursting pressure of at least four times the maximum working pressure of the system,D
39,According to the fuel used this type of engine uses hih grade of fuel which is highly flammable __________________.,Internal combustion engine,External combustion engine,Diesel engine,Gasoline engine,D
40,Advances in metallurgy and improved methods of boiler tube  fabrication has led to lighter tubes with wall thicknesses  in the vicinity of 0.1 inches.  A characteristic of these thin walled tubes is __________.,low tube metal temperatures,decreased probability of tube failure during normal operating conditions,better heat transfer characteristics,all of the above,D
41,"After using a CO2 fire extinguisher on a VESSEL, it should be __________.",put back in service if some CO2 remains,hydrostatically tested,retagged,recharged,D
42,Allowances may be made for the expansion and contraction in piping by the use of expansion joints or __________.,unions,retractable flanges,union bulkhead fittings,bends or loops in the line,D
43,"Among the size pipe, which has the largest outside diameter?","3/4"" pipe standard","3/4"" pipe extra strong","3/4"" pipe double extra strong","None, all have the same outside diameter",D
44,An ammonia leak will turn moistened pink litmus paper __________.,orange,red,purple,blue,D
45,An automatic solenoid dump valve will trip if an evaporator distillers with salt content exceeding ____________ grain per gallon.,.05,0.15,.20,.25,D
46,An important consideration in selecting a lubricating oil for use in a refrigeration compressor is for the oil to __________.,have a high viscosity index,mix readily with refrigerant,have a high freezing point,have a low pour point,D
47,An incandescent white flame in a boiler firebox would indicate __________.,efficient combustion,low fuel oil temperature,excessive fuel oil pressure,too much excess air,D
48,An indication of oil is volatility is                          .,the flash point,the autogenous ignition point,the fire point,any of the above,D
49,An unloader is installed on an air compressor to __________.,bypass the high pressure stage to the low pressure stage on 100% of the air compressors in service,prevent excessive interstage pressure buildup,control compressor discharge pressure,remove all but the frictional load during starting,D
50,"As routine maintenance, the bilge manifold valves are periodically removed and examined.  Prior to resecuring the valve bonnets, the valve __________.",disks and seats should be checked and lapped if necessary,bonnet flange gaskets should be renewed if they were cut or torn,stem packing should be renewed if the packing has hardened,all of the above,D
51,Babbitt is a metal alloy commonly used for lining __________.,saltwater piping,valve seats,shim stock,precision bearings,D
52,Ball bearings may become overheated if they are __________.,packed with too much grease,mounted on a misaligned shaft,not lubricated,all of the above,D
53,Black areas on the sealing surfaces of piston rings indicate __________.,lube oil pumping,rotating rings,gas pressure behind the ring,passage of hot gases,D
54,By which of the listed methods may heat be transferred from one body to another?,Radiation,Convection,Conduction,All of the above,D
55,Clogged or partially obstructed exhaust ports on a diesel engine can cause __________.,overspeeding of the engine,failure of the engine to shut down,no effect of engine performance,high exhaust temperatures,D
56,Coast Guard Regulations (46 CFR Part 56) permit copper pipe to be used for steam service subjected to a maximum pressure and temperature of __________.,350 psi and 460░F,350 psi and 406░F,250 psi and 460░F,250 psi and 406░F,D
57,Coast Guard Regulations (46 CFR) permit drain valves in the machinery space for removing water and impurities from diesel engine fuel systems.  Those valves must be __________.,ball-check valves to prevent leakage,automatically closed by a solenoid,connected through the tank top,fitted with caps or plugs to prevent leakage,D
58,Coast Guard Regulations (46 CFR) require that tank sounding pipes terminating below the freeboard deck of a cargo vessel must be fitted with a __________.,globe valve,stop-check valve,check valve,gate valve,D
59,"Coast Guard Regulations require that vessels of 500 GT or less, what equipment must be tested weekly?",Storage batteries to provide all power for the vessel and operated under load for emergency lighting.,All vessel internal control system alarms.,"Emergency astern operations, regardless of vessel location","Run emergency generator, driven by an internal combustion engine, under load for at least 2 hours.",D
60,Contamination such as oil or scale in boiler tube will cause ____________.,an explosion in the boiler,increased boiler steam pressure,decreased boiler steam pressure,those tubes to overheat,D
61,Corrosion caused by oxygen in an auxiliary boilers is prevented by testing the boiler feed tank with either sodium ____________.,bromide or hydroscopic sulfite,bromide or hydrazine,sulfite or hydroscopic sulfite,sulfite or hydrazine,D
62,Directional control valves used in hydraulic systems may be positioned __________.,manually,mechanically,electrically,all of the above,D
63,Distilled water from a sea water evaporator is normally discharge into a potable water  tank ___________,when chemical analysis it is safe to drink,after passing through a charcoal filter,through the potable water filling hose,through a solenoid operated dump value,D
64,Double cut files are used for __________.,quick removal of metal,finish work,rough work,both A and C,D
65,Downcomer tubes on auxiliary package boilers are protected from direct contact with hot gases by                                      .,water wall tubes,steel baffles,several rows of screen tubes,refractory and insulation,D
66,"During fueling operations, which of the listed precautions should be taken when topping off fuel tanks?",reduce the pumping rate by closing the deck filling valve,close all overflow valves,Place 5 gallon containers under all flange connection in the fuel line. ,Reduce the pumping rate and sound tanks frequently as the level rise.,D
67,"During severe storms, when survival becomes a major concern, it may become necessary to relieve high anchor tensions on  the windward side of the VESSEL by __________.",deballasting the rig,ballasting the rig,paying out cable on the windward side,paying out cable on the leeward side,D
68,"During the inspection for certification of small passenger  vessel of less than 100 gross tons, a hydrostatic test of 1-1/4 times the maximum allowable working pressure shall be made to __________.",tubular heat exchangers,hydraulic accumulators,refrigeration service heat exchangers,oil fired boilers,D
69,"During the repair and overhaul of the pump relief valve, used in a hydraulic system, the set point was reduced by 100 psi.  Which of the following statements describes the result of the set point being lowered?",The pump discharge pressure will remain at the same pressure prior to the relief valve being repaired.,"The solenoid controlled, three-position, spring centered control valve response will be quicker.",The fluid viscosity will increase during operation.,The movement of any system actuator will now be slower.,D
70,Excessive scale formation in a distilling plant may result  from __________.,poor distillate quality,reduced evaporator capacity,low brine concentration,improper vacuum regulation,D
71,Excessively tight drive belts installed between a motor and a refrigeration compressor pulley may cause __________.,overheated bearings,unnecessary motor loading,noisy operation,all of the above,D
72,Flash point of oil is the temperature at which:,fuel oi will ignite in the cylinder,fuel temperature above 150 degrees F,150 degrees F,fuel must be heated to allow flammable vapors to form on its surface,D
73,Fluctuations in the pressure and temperature of the steam supply to the first effect of a low pressure distilling plant will cause __________.,increasing heat levels throughout the entire unit,decrease priming and lower distillate sanility,first effect scale formation to be lessened ,Pressure and temperature fluctuation in the entire unit,D
74,Foaming in a lube oil system can cause:,oil overflow,loss of cooler effectiveness,inadequate lubrication,all of these,D
75,"For a safe, effective and economical maintainance system onboeard, the appropriate number of running hours interval in overhauling the main generator diesel engine onboard is","5,000","3,000","4,000","6,000",D
76,"For boring holes in mild steel and general work, the correct included angle of a drill point is __________.",29°,45°,90°,118°,D
77,"For drilling or machining cast iron, iron which of the cutting lubricants is it necessary to use?",Lard oil,Soluble oil,Kerosene,None of the above,D
78,"For use in boilers aboard ship, the flash point of fuel oil may be exceeded when ____.",necessary to transfer fuel,firing under maximum load,smokeless operation is desired ,required for proper automization,D
79,Gate valves should not be used for throttling as __________.,the pressure drop will be excessive,air binding will develop,the installation of an equalizing line will be necessary,wire drawing of the disc will result,D
80,Heavy soot accumulations in an auxiliary boiler could be caused by ______.,water in the fuel oil,excessive cycling,high fuel oil pressure ,improper burner maintenance,D
81,How are hydraulic valvelash adjusters on diesel engine rocker arm assemblies lubricated?,sealed lubricator,metered hydraulic oil supply,cup-feed grease,forced out oil supply,D
82,How ignition quantity of oil determined?,by the use of burner,oil ignition method,direct ignition method,by critical compression ratio,D
83,"If a centrifugal boiler feed pump operating with a positive suction head vibrates, or becomes noisy, the cause could be __________.",excessive suction pressure,worn wearing rings,air leakage into suction line,insufficient flow,D
84,"If a refrigeration box develops a heat load of 60,000 BTU/hour, what size refrigeration unit would be required?",3 ton,4 ton,4.5 ton,5 ton,D
85,"If engine lube oil is diluted 5 percent or more, you should:",centrifuge the whole batch,run it through the filters,completely drain and recharge with fresh lube oil,settle out the fuel oil,D
86,"If it were necessary for you to frequently replace the packing on the main condensate pump, the trouble could be the result of __________.",running at low speed for a long time,excessive condensate recirculation,defective casing gasket,worn bearings,D
87,"If R-502, which is a mixture comprised of 48.8% R-22 and 51.2% R-115, is recovered from a refrigeration system, it must be placed in a recovery tank containing  ________.",either R-22 or R-115,R-22 only,R-115 only,R-502 only,D
88,"If the distilling plant first stage absolute pressure is higher than normal, while the second stage absolute pressure remains satisfactory, the probable fault is due to __________.",loss of the distillate loop seal between the stages,priming in the second stage,failure of the brine pump,an air leak through a vacuum gage line in the first stage,D
89,"If the existing vapor pressure is subtracted from the indicated pressure at the pump suction, the remainder is the __________.",pump head,total suction head,discharge head,apparent net positive suction head,D
