FUNTION 4: CONTROLLING OF OPERATION OF THE SHIP AND CARE FOR PERSONS ON BOARD AT THE ENGINE  MANAGEMENT LEVEL,,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer
1,"A cargo hold containing cargo such as nitrates, chlorates etc. which produce oxygen under the influence of heat catches fire. How would you deal with this?",Close the hatches and use the fixed CO2 system.,Apply boundary cooling.,"Close the hatches, apply boundary cooling and allow the fire to use up the oxygen and extinguish itself.",With this type of material the hatches should not be battened down.  The fire can only be extinguished by using large quantities of water. ,D
2,A carling is used aboard ship:,as a connecting strap between the butted ends of plating,to prevent the anchor from fouling when the brake is released,to provide an extra heavy fitting in a heavy lift cargo rig,to stiffen areas under points of great stress between beams,D
3,"A chief engineer's responsibilities include making logbook  entries whenever fuel oil is received.  In accordance with Coast Guard Regulations (46 CFR), this log entry must include the __________.",name of the vendor,name of the oil producer,flash point (closed cup method) of the fuel oil certified by the producer,all of the above,D
4,"A class ""C"" fire is burning __________.",diesel oil,magnesium,dunnage,electrical insulation,D
5,"A class ""D"" fire would be considered as burning __________.",wood,oil,electrical equipment,magnesium,D
6,A class “C” fire would occur in.,Bedding,pipe insulation,paint,a generator,D
7,A class B fire is most successfully fought by:,cooling the burning material below its ignition temperature,using the extinguishing agent to absorb the heat,using the extinguishing agent to make the burning material fire-resistant,preventing oxygen from reaching the burning material,D
8,A class C fire would be burning:,fuel oil,wood,celluloid,electrical insulation,D
9,A combustible gas indicator is used to determine __________.,if there is sufficient oxygen to support life,the toxicity of flammable gases or vapors,the amount of CO2 present in flue gas,the presence of flammable gases or vapors in the air,D
10,A compound fracture is a fracture __________.,in which more than one bone is broken,in which the same bone is broken in more than one place,which is accompanied by internal bleeding,which causes external bleeding at the site of the fracture,D
11,"A conscious victim who has suffered a blow to the head has symptoms that indicate the possibility of concussion.  If the patient feels no indication of neck or spine injury, recommended treatment would include __________.",turning the victim's head to the side to keep his airway open,positioning the victim so the head is lower than the body,"giving the victim water if he is thirsty, but no food",elevating the head and shoulders slightly,D
12,A crew member has been overcome by toxic fumes in the pumproom.  Which of the following actions should be taken before entering the pumproom to rescue the victim?,Put on an approved self-contained breathing apparatus.,Have someone stand by the entrance.,Wear a lifeline.,All of the above.,D
13,A crew member reports that the high-pressure alarm light of a low- pressure CO2 fixed fire extinguishing system is illuminated. The most probable cause of this condition would be that:,an excessive amount of insulation has been installed on the tank and piping,an air leak has developed in the tank,the pilot cylinder discharge valve is leaking,the tank cooling system has malfunctioned,D
14,A crew member suffering from hypothermia should be given:,a brisk rub down,a small dose of alcohol,a large meal,treatment for shock,D
15,A cutoff valve in the fire main system of a VESSEL may be closed to protect a portion of the system on an exposed deck from __________.,damage from crane operations,being used for wash down purposes,accidental diversion of flow to wrong location,freezing,D
16,A definite advantage in the use of water as a fire extinguishing agent is its ability to __________.,alternate expansion and contraction as water in liquid state becomes vapor,absorb smoke and gases as water is converted from liquid to vapor,rapidly contract as water is converted from a liquid to a  vapor,vaporize and rapidly expand as water absorbs heat,D
17,A device fitted over the discharge opening on a relief valve consisting of one or two woven wire fabrics is called a flame,stopper,restrictor,filer,screen,D
18,A device used to immobilize fractures and help prevent bone displacement is:,Tourniquet,Bandage,Stretcher,Splint,D
19,"A disk with a horizontal line through its center, equivalent to the summer load line, is called the:",tonnage mark,maximum allowable draft mark,deadrise mark,plimsoll mark,D
20,"A distress alert from an Inmarsat-EPIRB, is received in the coverage area of a satellite by ground station within:",30 to 60 minutes,Don't know,60 to 90 minutes,two minutes,D
21,A documented vessel operating over 50 miles offshore must carry an inflatable liferaft with a:,small vessel pack,SOLAS B pack,coastal pack,SOLAS A pack,D
22,A drill must be conducted in the use of line throwing appliance at least once in every:,5 months,2 months,4 months,3 months,D
23,"A fire and boat drill on a tank vessel shall, by regulation, include __________.",starting the fire pumps,checking fireman's outfits and other personnel rescue equipment,checking relevant communications equipment,all of the above,D
24,A fire cannot exist if which of the listed elements is removed from the fire?,Oxygen,Fuel,Heat,Any of the above.,D
