FUNCTION 1: MARINE ENGINEERING AT THE ENGINE  OPERATIONAL LEVEL,,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer
1,A boiler economizer should be bypassed whenever ________.,temperatue of the stack gases are low enough to reach dewpoint,superheater outlet temperatures are too high,DC heater outlet temperature is too high,the main turbine is operating at full power,A
2,A boiler forced draft pressure gage indicates 8 inches of water.  This corresponds to a pressure of __________.,.288 psi,.433 psi,.688 psi,.833 psi,A
3,A boiler water tube would burn out as a result of __________.  I. direct flame impingement    II. excessive soot accumulation,I only,II only,Both I and II,Neither I nor II,A
4,A bourdon tube-type steam pressure gage is fitted with a siphon loop to prevent damage from __________.,extreme thermal stress,the admission of condensate,pressure shock,differential expansion rates,A
5,A built-up exhaust valve is one in which __________.,the stem and head is made of different materials,low-alloy steel is used throughout,a replaceable sleeve is shrunk on the valve stem,the valve requires double springs,A
6,"A burner atomizer improperly positioned in the distance piece, may cause __________.",oil impingement on furnace walls,slag formation on the screen tubes,erosion of the screen tube baffles,"the ends of the flame, farthest from the atomizers, to be a yellowish orange, or golden shade",A
7,"A bypass line provided around a waste heat auxiliary boiler in a diesel engine exhaust system, may be used to avoid boiler __________.",corrosion at low engine loads,erosion at high engine loads,overload at low engine loads,scaling at all exhaust temperatures,A
8,A centrifugal pump gradually develops insufficient discharge pressure. What corrective action is required?,Replace the wearing rings.,Throttle in on the discharge valve.,Replace the  lantern rings.,Throttle in on the suction valve.,A
9,A change in engine speed is required before a governor is able to make a corrective movement of fuel rack.  This aspect of governing is commonly expressed as a percent and  is known as __________.,governor sensitivity,governor promptness,speed droop,isochronous governing,A
10,"A characteristic of a bearing material which permits small dirt particles to become embedded in it's surface is
                                    .","desirable, as it will prevent damage to the journal surface","desirable, as it will assist in keeping the lube oil filters clean","undesirable, since the embedded particles will score the journal","undesirable, since the particles will interfere with lube oil flow",A
11,A coil-type automatically fired auxiliary boiler is to be laid up wet for an indefinite period. The boiler water  should be treated to ensure that                          .,the manufacturer's recommended pH is maintained,there is no excess of oxygen scavenging chemicals,sludge formation cannot occur in the steam separator,waterside blowdown will not be required,A
12,A common gas dissolved in water contributing to the greatest amount of corrosion in a condensate system is __________.,carbon dioxide,hydrogen,carbon monoxide,nitrogen,A
13,A continuous blow is used to __________.,regulate the density or salinity of boiler water,remove scum from the surface of boiler water,permit air to escape while raising steam in a cold boiler,remove sludge from the bottom of the water drum,A
14,"A continuous fluctuation of the speed, due to over control by the governor, is known as __________.",hunting,sensitivity,promptness,speed droop,A
15,A corbel in the furnace of a water-tube boiler is a fillet of plastic refractory used as a __________.,"means of excluding slag from the joints at the furnace floor, walls, and corners",preformed burner arch section,foundation for refractory anchor bolts,set of gas baffles in the screen tubes,A
16,A corbel is used in a boiler furnace to __________.,protect the expansion joints,reduce gas turbulence,direct the flow of gases,contain the furnace heat,A
17,A dark exhaust from a running diesel engine can be caused by  _________.,late ignition,water in the fuel,high compression temperature,starting valve stuck open,A
18,A diesel engine could fail to start because of __________.,incorrect injection timing,low exhaust back pressure,floating exhaust valves,excessive cranking speed,A
19,"A diesel engine experiences a sudden loss in speed, accompanied by black exhaust smoke, with the fuel rack at maximum, and the speed remaining below normal. The probable cause is__________.",engine overload,leaky valves,stuck or broken piston rings,low air injection pressure,A
20,A diesel engine exposed to widely varying ambient temperatures should use a lubricating oil with __________.,a high viscosity index,a low viscosity index,extreme pressure additives,no additives,A
21,"A diesel engine fails to start due to excessive water in the fuel.  Before the engine can be started, the water should be removed from the __________.",fuel lines,lube oil filter,crank case pump,rocker arm reservoir,A
22,A diesel engine indicator diagram measures 12.5 cm in length and has an area of 22 cm2.  What is the cylinder mean effective pressure if the spring used has a scale of 1.25 mm equals 1 kg/cm2?,14.08 kg/cm2,22.0 kg/cm2,34.5 kg/cm2,35.75 kg/cm2,A
23,A diesel engine is driving an alternator required to run at 1800 RPM.  The overspeed governor is normally required to be set within a range of __________.,1980 to 2070 RPM,2100 to 2200 RPM,2200 to 2300 RPM,2300 to 2400 RPM,A
24,"A diesel engine is operating with excessively high exhaust  temperatures at all cylinders.  To correct this condition,  you should FIRST __________.",reduce the engine load,increase the cooling water flow,increase the lube oil pressure,adjust the fuel rack,A
25,A diesel engine may be hard to start if the __________.,air intake is restricted,engine is cranked too fast,vibration dampener is faulty,exhaust back pressure is low,A
26,A diesel engine may fail to start due to __________.,low air charge temperature,high cranking speed,excessive fuel dilution of lube oil,high compression pressure,A
27,"A diesel engine operating at a light load, when compared to operating at heavy load has an air/fuel ratio that is __________.",higher,lower,equal,directly proportional,A
28,A diesel engine using lube oil with too high a viscosity will exhibit __________.,increased starting difficulty in cold weather,increased oil consumption,thickening at higher operating temperatures,minimal friction losses,A
