"FUNCTION 2: ELECTRICAL, ELECTRONIC AND CONTROL ENGINEERING AT THE ENGINE  OPERATIONAL LEVEL",,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer
1,Voltmeter is connected in a circuit in_______________.,parallel ,series parallel,series   ,relay, A
2,"In a DC series circuit, all the conductors have the same_____________.",cool the motor with portable blowers and fans,voltage drop across them,resistance to current flow,current passing through tham, D
3,"Prior to starting an AC generator prime mover, the voltage regulator cut out switch should be placed in the ______________.", transfer position, raise voltage position, bus neutral position, manual position, D
4,What provided the initial torque to turn a DC generator?, residual magnetism in the field poles, residual magnetism in the field poles, residual magnetism in the armature, a mechanical prime mover, D
5,"A ""dielectric"" is a/an ________.", electrical insulator, current flow, good conductor, semiconductor material,A
6,A 24-volt lead-acid storage battery consist of: ,12 cells,6 cells,8 cells,none of the above,A
7,"A breakable, mercury-filled thermometer should not be used  in a lead-acid battery to measure electrolyte temperature,  as an accidental breakage can cause __________.",severe sparking and explosions,rapid oxidation of battery plates,violent gassing at the positive plates,corrosion on the battery terminals,A
8,A circuit that has one of the two wires in contact with the hull of the ships is called a ,brush sparking,short circuit,impedance,flux leakage,A
9,A common method used to control the speed of a synchronous AC propulsion motor on a diesel-electric propulsion drive is by  __________.,varying the input frequency of the voltage to the motor,increasing the motor voltage,decreasing the motor voltage,increasing the current to the motor,A
10,A control valve installed in a hydraulic system to manipulate the reversal of fluid flow is called,Directional control valve,Regenerative valve,Relief valve,Reservoir valve,A
11,"A flickering ground detection lamp ,on a DC system would be indicate a",ground in an armature coil of an operating machine ,short between two adjacent bars of the generator commutator,mutilple ground in the distribution system,ground in a motor accompanied with a short,A
12,A four-pole 60-hertz induction motor has a synchronous speed of 1800 RPM and a slip of 4 percent at full load.  What will be its full load speed?,1728.0 RPM,1730.7 RPM,1800.0 RPM,1872.0 RPM,A
13,A fuse that blows should be replaced only with a fuse of__________voltage.,the recommeded current,higher current,higher current and lower,lower current and higher,A
14,A ground in a main generator is indicated by the______________.,ground-detecting system,synchronizing lights,reverse-power relay,frequency fluctuations during load changes,A
15,"A horseshoe magnet ,has:",two poles ,three poles,four poles,one pole,A
16,A kind of motor strater that reduce current and starting torque in the same propotion is called _______.,Auto transformer starter,Magnetic line strater,Solid state starter,Reduced voltage starter,A
17,A molded-case circuit breaker provides protection against short circuits by using a/an __________.,electromagnet,shading coil,arc quencher,burn away strip,A
18,A multiconductor cable:,has a number of separate circuits,is a single circuit cable composed of a number of strands,is a flexible cable to carry motor current,is a special heating conductor,A
19,A nickel-cadmium battery begins gassing when connected to the charging circuit. You should__________.,do nothing as this is normal condition when charging,add distilled water to each cell to increase specific gravity,add potassium hydroxide to each cell to increase specific gravity,decrease the charging rate,A
20,A replacement wire having twice the length and one half the cross sectional of the original wire will have resistance that is____________.,four times that of the original wire,twice that of the original wire,the same as that of the original wire,one half that of the original wire,A
