FUNCTION 3: MAINTENANCE AND REPAIR AT THE ENGINE  OPERATIONAL LEVEL,,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer
1,A ball bearing will overheat if __________.,completely packed full of grease,filled with grease to 65% of the total open spaces within the bearing,in use for a long time,operated at designed high speed,A
2,A boiler forced draft pressure gage indicates 8 inches of water. This corresponds to a pressure of __________.,.288 psi,.433 psi,.688 psi,.833 psi,A
3,A Bourdon tube pressure gage is protected from the effects  of the steam entering the pressure element by a/an __________.,"exposed, uninsulated coil in the line leading to the gage",impulse-type steam trap in the gage line,leather or neoprene diaphragm in the gage line,spring loaded bellows in the gage line,A
4,A centrifugal pump attempting to develop flow against a closed discharge valve has a/an __________.,capacity of 0%,efficiency of 100%,internal slippage of 0%,shut off horsepower rating of 100%,A
5,A centrifugal pump gradually develops insufficient discharge pressure. What corrective action is required?,Replace the wearing rings.,Throttle in on the discharge valve.,Replace the  lantern rings.,Throttle in on the suction valve.,A
6,"A constant capacity, pressure atomizing, fuel burners that are designed to meet a wide variation in the steaming lead of auxiliary boiler are                                            .","automatically cycled on and off, in response to demand",equipped with standard variable capacity atomizer,"automatically cycled on and off, in response to demand",equipped with fuel nozzles having variable orifices,A
7,A controller with floating action has a controlled variable where the range of values produces no motion of the final control element.  This range of values is called the __________.,neutral zone,set point,control point,offset,A
8,"A cylinder tank 12 ft. longholds 2600 gals when full, what is the diameter of the tank?",72.87 inches,71.87 inches,73. 45 inches,70.45 inches,A
9,A grade E petroleum product is                                 .,kerosene,a combustible liquid,a flammable liquid,light fuel oil,A
10,"A hydraulic accumulator, used in a hydraulic system aboard a VESSEL, is designed to __________.",store fluid under pressure,act as the main fluid reservoir,provide the only means of overpressure relief,act as the singular source of fluid replenishment to a system,A
11,"A liquid is being transferred by a centrifugal pump.  As the liquid passes through the volute, its velocity decreases and __________.",its pressure increases,its pressure decreases,the potential energy decreases,the kinetic energy increases,A
12,A micrometer screw has a pitch of __________.,40 threads per inch,50 threads per inch,75 threads per inch,100 threads per inch,A
13,A minor heat burn of the eye should be treated by __________.,gently flooding with water,warming the eye with moist warm packs,laying the person flat on his back,mineral oil drops directly on the eye,A
14,A perfect vacuum is represented by,30 in. Hg,24 in. Hg,15 in. Hg,10 in. Hg,A
15,"A P-tank system, as used on oilfield supply boats __________.",must be kept free of moisture and water,is designed to transfer viscous liquids,is capable of pumping chunks of cement that find their way  into the system,answers B and C above,A
16,A purge cycle is required on all low pressure chillers because __________.,such a chiller can operate at a pressure below atmospheric  pressure,evacuation of all air from a chiller is not possible,chillers are often opened for mainatenance,because of the refrigerant's low boiling point,A
17,"A rotameter, when used to indicate the rate of fluid flow in distilling plants, is essentially an area meter consisting of a __________.",movable float riding on a rod centered in a tapered tube,piston uncovering a port whose opening is directly  proportional to fluid flow,movable orifice plate venturi tube and high pressure tap,rotating vane transmitting nutating motion to a counter mechanism,A
18,A ship travelling at 17.5 knots  leaved one  port bound for another 4 1//2 hours after another ship whose speed is 16 knots leaves the same port set on the same course. After how many hours and at what distance from port will the fast ship overthake the s,1) 48 hrs. 2) 840n.m,1) 24 hrs. 2) 16 n.m,1) 16 hrs. 2) 12 n.m,1) 12 hrs. 2) 10 n.m,A
19,"A six-cylinder, four-stroke/cycle diesel engine is fitted with a rotary distributor type air starting system.  The speed of the rotating distributor disc is __________.",one-half engine speed,the same as engine speed,twice engine speed,four times engine speed,A
20,"A solenoid, direct-acting, three-position, spring-centered, directional control valve is used in a hydraulic system to  control a linear actuator.  Midway through extension, the push button is released, but the actuator continues to extend slowly.  Which ",A centering spring has broken and jammed the spool movement preventing the spool from recentering.,One of the two solenoids has sustained an open in its respective coil.,The pump coupling has been damaged preventing the pump from developing its required operating speed.,"The detent mechanism has failed, preventing the valve from  operating.",A
21,A squealing sound from an operating reciprocating air compressor would indicate;,loose drive belts,badly speaking valves,compressor inter-stage leakage,tight drive belts,A
22,A standard grade of 3 inch steel pipe has an outside diameter of 3.5 inches and an inside diameter of 3.068 inches.  What is the nominal size of steel pipe having an outside diameter of 4.0 inches and an inside diameter of 3.548 inches?,3.5 inches,3.75 inches,3 inch nominal size pipe of schedule 80 thickness,3 inch nominal size pipe of schedule 160 thickness,A
23,"A stopper is inserted into the spout of a closed container  in which water has been heated to a temperature of 212°F. If additional thermal energy is imparted, what changes will occur to the pressure and temperature inside the container?",both pressure and temperature will rise,pressure alone will rise,temperature alone will rise,only a change of state will occur,A
24,"A VESSEL is inclined at an angle of loll.  In the absence of  external forces, the righting arm (GZ) is __________.",positive,negative,zero,vertical,A
25,"A work piece has been mounted between centers and a test cut machined at each end to check alignment of the lathe centers.  If the test cut on the tailstock end is deeper than the test cut on the headstock end, the tailstock must  be moved __________.",away from you to correct alignment,toward you to correct alignment,closer to the headstock to reduce the amount of offset,away from the headstock to decrease the misalignment,A
26,Accidental flooding of the engine room bilges through the bilge system is prevented by __________.,stop-check valves installed in the bilge suction manifolds,using a positive displacement reciprocating bilge pump,installing eductors in all bilge rose boxes,installing a swing check before each bilge valve,A
27,"According to 46 CFR Part 91, a temporary Certificate of Inspection, Form CG-854, may be  issued to a self propelled cargo vessel __________.",when the immediate issuance of a Certificate of Inspection  is not possible at the completion of an inspection,"until all minor deficiencies (CG-835's) found by the CG inspector during a biannual inspection are corrected, at which time a regular certificate may be issued",to cover an expired permanent Certificate of Inspection provided that the certificate did not expire within 15 days after the vessel left the last port of the U. S.,under all of the above situations,A
28,"After adding grease to a ball bearing with a handheld grease gun, you should __________.",run the machine with the bearing housing drain plug open for a short while,close the bearing housing drain and add a little extra grease to compensate for air pockets in the bearing,remove the grease fitting and leave open to allow excess grease to escape,save the used grease for chemical analysis,A
29,After fuel oil analysis the laboratory advises the user to conduct more centrifuging. Which of the following justifies the meaning of centrifuging?,purification,filtration,dehydration,recirculation,A
30,Aftercoolers are used with air compressors to __________.,reduce the temperature of compressed air,decrease the density of compressed air,dampen pressure pulses in the discharge air,ensure complete expansion of the compressed air,A
31,Air compressors are equipped with unloading systems for the purpose of ____________________.,removing all but the frictional load during starting,relieving intercoolers of high temperature buildups,providing high starting torque in the drive motor,seating valve plates during compressor shutdown,A
32,All fire hoses on a mobile offshore drilling units must be  tested to a pressure of at least __________.,100 psi,110 psi,120 psi,130 psi,A
33,All portable electric tools should have a ground connection to prevent __________.,electric shock if the tool is shorted,burning out the motor from an overload,overloading the motor from a short,grounding the plastic case through a short,A
34,"An acceptable method for measuring the applied rotational force when tightening connecting rod and main bearing bolts, is to use a __________.",torque wrench,monkey wrench,pipe wrench,slugging wrench,A
35,An aligning punch is used to __________.,line up corresponding holes in adjacent parts,completely loosen a jammed bolt,mark centers and lines in layout work,make a starting mark for a drill,A
36,An economizer or heat exchanger in a refrigeration system with a reciprocating compressor function to ______________.,reduce the possibility of liquid refrigerant slugging the compressor,raise the temperature of liquid refrigerant,cool the suction vapor returning to the compressor,raise the refrigerant saturation temperature in the evaporator,A
37,An increase in rotor clearance in a rotary pump will_________.,decrease pump capacity,decrease pump cavitation,increase discharged pressure ,decrease reaction ring clearance,A
38,"An organic solid lubricant, such as graphite, is suitable as an oil additive when used in __________.",machinery bearings subjected to high temperatures,antifriction bearings on general service pumps,bearings subject to fluctuating loads,line shaft bearings,A
39,An unsteady vacuum in a submerged tube evaporator can be caused by __________________,fluctuating steam pressure to the air ejector nozzle,improper venting of the evaporator tube nests,air leaks in the evaporator tube nests,high water level in the evaporator shell,A
40,Any feedwater testing done on a routine basis would normally include testing for __________.,chloride,phosphate,electrical conductivity (total dissolved solids),all of the above,A
41,Any restriction in the instrument air piping of a pneumatic control system will __________.,delay transmission of the air signal,increase the transmitted air signal intensity,reduce the transmitted air signal value,accelerate transmission of the air signal,A
42,"As a general rule of thumb, the reservoir used in a hydraulic system should have a capacity, when at the normal level, approximately equal to __________.",two to three times the normal flow rate through the system,the flow rate through the system,ten times the flow rate through the system,the pump gpm,A
43,"Before the commencement of a major job such as overhauling of machineries for the first time onboard, the first to be consulted for a safe and effective work is the__",Planned maintenance,Instruction manuals,Classification surveyor,Management company,A
44,"Between the side frames of a VESSEL, support for the deck beams is provided by __________.",stanchions,brackets,web frames,deck stringers,A
45,Burner ignition failure in an automatically fired auxiliary boiler would be caused by __________.,a burned out solenoid in the oil supply valve,high temperature excess air,incorrectly setting the hotwell dump valve,an incorrectly positioned burner snubber relay,A
46,By what method is distilled water added to the feed system?,vacuum drag to the main condenser,gravity from the DC heater to the feed pumps,gravity from the DC heater to the main condenser,pumped into the main condenser,A
47,"Calculate the indicated power per cylinder of a diesel engine base on the ff. data: no. of  cyl. - 6, Mech. Eff. - 80%, Cyl. Constant - 1.3258,Mep 14.7 kg/sq.cm.&RPM-95",1851 kw,1481kw,998 kw,1038 kw,A
48,Carbon deposits that form on the discharge valves of an air compressor are cause by oil deterioration under high pressure. The first step reducing these deposits would be to ____________.,reduce discharge temperatures,increase the compression ratio,use a high viscosity oil,increase the oil volatility,A
49,Checked heat cracks?,magnetic particle test,x-ray,pressure test,dye penetrants,A
50,Coast Guard Regulations  (46 CFR) require that electric and electro-hydraulic steering gear motors shall be __________.,served by two electric power feeder circuits,provided with a motor running overcurrent protection device,protected by a circuit breaker and a thermal overload device,served by a single two conductor cable,A
51,Coast Guard Regulations (46 CFR) require hydraulic steering gear systems to be equipped with a means of steadying the rudder in an emergency.  This may be accomplished with __________.,a suitable arrangement of stop valves in the main piping,a positive arrangement for stopping the rudder before the rudder stops are reached,a suitable arrangement of block and tackle powered by winches,buffer arrangements to relieve the gear from shocks to the  rudder,A
52,Coast Guard regulations concerning marine sanitation devices may be found in  __________.,33 CFR Section 159,33 CFR Section 153,33 CFR Section 155,33 CFR Section 156,A
53,Combustible gas indicator are used to detect flammable gases or vapors in the atmosphere. As a safety features they are equipped with:,flame arrestors,an inflatable bag,an audible signaling device,a pressure relieving devices,A
54,"Compared to a constant pitch propeller, a controllable pitch propeller __________.",more efficiently uses available engine power,operates at a lower efficiency at a fixed speed,produces the same torque at lower engine power,develops its rated power at a lower speed,A
55,"Compared to internal structural plating, the exterior hull  plating on a VESSEL is usually __________.",stronger,thinner,more corrosion resistant,a lower grade steel,A
56,Compute the height in meter of a column of a water which is supported by a pressure of 6500 N/m2,0.663 m,6.53 m,0.366 m,60.3 m,A
57,"Constant pressure is maintained in the potable water system of many ships by using _________,.",an air cushion in the pressure tank,variable speed supply pumps,constant speed supply pumps,a pressure regulator in the pressure tank discharge piping,A
58,"Copper sheet metal that is to be used as a gasket, is usually annealed by heating it to a cherry red color, and then __________.",dousing it in cold water,cooling it slowly in air,quenching it slowly in oil,drawing its temper quickly,A
