FUNCTION 4: CONTROLLING THE OPERATION OF THE SHIP AND CARE FOR PERSONS ON BOARD AT THE ENGINE  OPERATIONAL LEVEL,,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer
1,A  vessel freely floating in the water will behave as if all of its weight is acting downward through a point called:,center of gravity,center of buoyancy,center of flotation,metacenter,A
2,"A ""fifteen-pound"" CO2 extinguisher is so called because:",there are fifteen pounds of CO2 in the container,"the container, when full, weighs fifteen pounds",the pressure at the discharge nozzle is l5 psi,the empty container weighs fifteen pounds,A
3,A 6-men inflatable liferaft shall be carried as far forward as is reasonable and practicable. Where is the best stowing position?,Under the forecastle.,"Aft of the forecastle, secured with wire and turnbuckle.",All forward on the forecastle and secured with the use of hydrostatic release device.,Aft of the forecastle secured with the use of hydrostatic release device.,A
4,A barge is 60m long and 10m wide and floats at a draft of 4.0m fore and aft a compartment amidships 15m long contains cargo of permeability 40%. Find new drafts if this compartment bilged:,4.44m,5.33m,4.85m,5.48m,A
5,A B-II fire extinguisher has a minimum capacity of:,10 pounds of dry chemical,20 pounds of CO2,3 gallons of foam,All of the above,A
6,A burning mattress is considered as which of the following  classes of fire?,"Class ""A""","Class ""B""","Class ""C""","Class ""D""",A
7,A burning period of the rocket parachute flare should not be less than for how long when it burns?,40 secs,45 secs,55 secs,50 secs ,A
8,A cabinet or space containing the controls or valves for the fixed firefighting system must be:,posted with instructions on the operation of the system,ventilated and equipped with explosion-proof switches,painted with red and black diagonal stripes,equipped with a battery powered source of emergency lighting,A
9,A casualty has fallen from a height and appears to be unconscious. What would you do first?,Check their breathing,Check their pulse,Place them in the recovery position,Leave them and phone for help,A
10,A casualty suddenly loses consciousness and falls to the ground letting out a strange cry. The patient is red-blue in the face and froth may appear around the mouth. You are witnessing a major epileptic attack. What should you do?,"Loose tight clothing, ask all unnecessary bystanders to leave and carefully place something soft under the head. If casualty is unconscious, place the person in Recovery position.             ",Move the casualty in a sit-up position and put something in the persons mouth to protect the tongue.,Keep the patient awake and make him/her walk if necessary to keep him/her awake,Remove any soiled clothing and put the patient in a clean bed,A
11,A Certificate of Financial Responsibility attests that the vessel __________.,has financial backing to meet any liability resulting from the discharge of oil,has the minimum required amount of P&I,will assume the responsibility for any damage or loss to the shipper,has financial reserves to meet reasonable expected crew costs of an intended voyage,A
12,"A chemical material, as listed on a Material Safety Data Sheet (MSDS) that reacts with water or moist air, and produces a health or physical hazard, is called __________.",water-reactive,toxic,flammable,combustible,A
13,"A class ""D"" fire involves what type of material?",Metals ,Gases,Liquids,Wood or other carbonaceous material ,A
